;TYPE;DATE;YEAR;WEEK;REGION;AGEGROUP;TOTAL_VAC_1;TOTAL_VAC_2;TOTAL_VAC_UNK;TOTAL;CUMUL_VAC_1;CUMUL_VAC_2;CUMUL_VAC_UNK;CUMUL;CUMUL_VAC_INIT;CUMUL_VAC_COMPLETE;CUMUL_VAC_LEAST;COVER_1_VAC;COVER_INIT;COVER_COMPLETE;COVER_LEAST
1;REGIONAL;04/01/2021;2021;1;ARS Alentejo;All;3468;3;0;3471;4702;4;0;4706;4698;4;4702;0,010029821;0,010021288;8,53E-06;0,010029821
2;REGIONAL;11/01/2021;2021;2;ARS Alentejo;All;5377;11;0;5388;10079;15;0;10094;10063;16;10079;0,021499482;0,021465352;3,41E-05;0,021499482
3;REGIONAL;18/01/2021;2021;3;ARS Alentejo;All;10460;1138;0;11598;20539;1153;0;21692;19381;1158;20539;0,043811673;0,041341547;0,002470126;0,043811673
4;REGIONAL;25/01/2021;2021;4;ARS Alentejo;All;2376;3105;0;5481;22915;4258;0;27173;18649;4266;22915;0,048879911;0,03978012;0,009099791;0,048879911
5;REGIONAL;01/02/2021;2021;5;ARS Alentejo;All;1455;4354;0;5809;24370;8612;0;32982;15749;8621;24370;0,051983567;0,03359414;0,018389427;0,051983567
6;REGIONAL;08/02/2021;2021;6;ARS Alentejo;All;3291;8802;0;12093;27661;17414;0;45075;10234;17427;27661;0,059003588;0,021830112;0,037173476;0,059003588
7;REGIONAL;15/02/2021;2021;7;ARS Alentejo;All;4081;2844;0;6925;31742;20258;0;52000;11471;20271;31742;0,067708756;0,024468752;0,043240003;0,067708756
8;REGIONAL;22/02/2021;2021;8;ARS Alentejo;All;12067;1642;0;13709;43809;21900;0;65709;21891;21918;43809;0,093448833;0,04669562;0,046753214;0,093448833
9;REGIONAL;01/03/2021;2021;9;ARS Alentejo;All;10488;2836;1;13325;54297;24736;1;79034;29537;24760;54297;0,115820752;0,063005277;0,052815474;0,115820752
10;REGIONAL;08/03/2021;2021;10;ARS Alentejo;All;5850;1697;0;7547;60147;26433;1;86581;33682;26465;60147;0,128299367;0,071846963;0,056452404;0,128299367
11;REGIONAL;15/03/2021;2021;11;ARS Alentejo;All;3739;7749;0;11488;63886;34182;1;98069;29672;34215;63887;0,136275016;0,063293245;0,072983904;0,136277149
12;REGIONAL;22/03/2021;2021;12;ARS Alentejo;All;11931;2125;0;14056;75817;36307;1;112125;39477;36342;75819;0,161724993;0,084208258;0,077521;0,161729259
13;REGIONAL;29/03/2021;2021;13;ARS Alentejo;All;6168;6322;0;12490;81985;42629;1;124615;39321;42667;81988;0,174881933;0,083875495;0,091012837;0,174888332
14;REGIONAL;05/04/2021;2021;14;ARS Alentejo;All;14069;4341;0;18410;96054;46970;1;143025;49046;47013;96059;0,204892471;0,104619861;0,100283275;0,204903136
15;REGIONAL;12/04/2021;2021;15;ARS Alentejo;All;21937;2983;0;24920;117991;49953;1;167945;67997;50000;117997;0,251686213;0,145044176;0,106654835;0,251699012
16;REGIONAL;19/04/2021;2021;16;ARS Alentejo;All;11414;5995;0;17409;129405;55948;1;185354;73414;55998;129412;0,276033379;0,156599161;0,119449149;0,27604831
17;REGIONAL;26/04/2021;2021;17;ARS Alentejo;All;20280;2807;0;23087;149685;58755;1;208441;90892;58808;149700;0,31929258;0,193881425;0,125443151;0,319324576
18;REGIONAL;03/05/2021;2021;18;ARS Alentejo;All;13730;14357;1;28088;163415;73112;2;236529;93373;73177;166550;0,348579998;0,199173638;0,156093617;0,355267256
19;REGIONAL;10/05/2021;2021;19;ARS Alentejo;All;17483;15307;0;32790;180898;88419;2;269319;96035;88504;184539;0,385872927;0,204851942;0,18878759;0,393639532
20;REGIONAL;17/05/2021;2021;20;ARS Alentejo;All;13276;12285;1;25562;194174;100704;3;294881;100326;100907;201233;0,414191919;0,21400506;0,215244389;0,429249449
21;REGIONAL;24/05/2021;2021;21;ARS Alentejo;All;7233;18613;0;25846;201407;119317;3;320727;90633;119977;210610;0,429620607;0,193328953;0,255922543;0,449251496
22;REGIONAL;31/05/2021;2021;22;ARS Alentejo;All;17434;7355;0;24789;218841;126672;3;345516;100301;128090;228391;0,466809015;0,213951732;0,273228357;0,487180089
23;REGIONAL;07/06/2021;2021;23;ARS Alentejo;All;13873;15306;0;29179;232714;141978;3;374695;98906;143997;242903;0,496401466;0,210976062;0,307159526;0,518135588
24;REGIONAL;14/06/2021;2021;24;ARS Alentejo;All;10291;19306;1;29598;243005;161284;4;404293;91094;163776;254870;0,518353164;0,194312311;0,349350045;0,543662356
25;REGIONAL;21/06/2021;2021;25;ARS Alentejo;All;10618;14375;0;24993;253623;175659;4;429286;89553;178847;268400;0,541002385;0,191025209;0,381497946;0,572523155
