;TYPE;DATE;YEAR;WEEK;REGION;AGEGROUP;TOTAL_VAC_1;TOTAL_VAC_2;TOTAL_VAC_UNK;TOTAL;CUMUL_VAC_1;CUMUL_VAC_2;CUMUL_VAC_UNK;CUMUL;CUMUL_VAC_INIT;CUMUL_VAC_COMPLETE;CUMUL_VAC_LEAST;COVER_1_VAC;COVER_INIT;COVER_COMPLETE;COVER_LEAST
1;REGIONAL;04/01/21;2021;1;ARS Alentejo;All;3487;1;0;3488;4716;2;0;4718;4714;2;4716;0,010059684;0,010055418;4,26619E-06;0,010059684
2;REGIONAL;11/01/21;2021;2;ARS Alentejo;All;5365;12;0;5377;10081;14;0;10095;10066;15;10081;0,021503748;0,021471751;3,19965E-05;0,021503748
3;REGIONAL;18/01/21;2021;3;ARS Alentejo;All;10438;1133;0;11571;20519;1147;0;21666;19367;1152;20519;0,043769011;0,041311684;0,002457327;0,043769011
4;REGIONAL;25/01/21;2021;4;ARS Alentejo;All;2309;3123;0;5432;22828;4270;0;27098;18550;4278;22828;0,048694332;0,039568944;0,009125388;0,048694332
5;REGIONAL;01/02/21;2021;5;ARS Alentejo;All;1457;4347;0;5804;24285;8617;0;32902;15659;8626;24285;0,051802253;0,033402161;0,018400092;0,051802253
6;REGIONAL;08/02/21;2021;6;ARS Alentejo;All;3336;8788;0;12124;27621;17405;0;45026;10203;17418;27621;0,058918264;0,021763986;0,037154278;0,058918264
7;REGIONAL;15/02/21;2021;7;ARS Alentejo;All;4066;2814;0;6880;31687;20219;0;51906;11455;20232;31687;0,067591435;0,024434623;0,043156812;0,067591435
8;REGIONAL;22/02/21;2021;8;ARS Alentejo;All;12044;1654;0;13698;43731;21873;0;65604;21841;21890;43731;0,093282452;0,046588965;0,046693487;0,093282452
9;REGIONAL;01/03/21;2021;9;ARS Alentejo;All;10471;2839;1;13311;54202;24712;1;78915;29467;24735;54202;0,115618107;0,062855961;0,052762147;0,115618107
10;REGIONAL;08/03/21;2021;10;ARS Alentejo;All;5843;1677;0;7520;60045;26389;1;86435;33624;26421;60045;0,128081791;0,071723244;0,056358548;0,128081791
11;REGIONAL;15/03/21;2021;11;ARS Alentejo;All;3720;7747;0;11467;63765;34136;1;97902;29597;34169;63766;0,136016911;0,063133263;0,072885781;0,136019044
12;REGIONAL;22/03/21;2021;12;ARS Alentejo;All;11919;2119;0;14038;75684;36255;1;111940;39396;36290;75686;0,161441291;0,084035478;0,077410079;0,161445557
13;REGIONAL;29/03/21;2021;13;ARS Alentejo;All;6161;6306;0;12467;81845;42561;1;124407;39248;42599;81847;0,1745833;0,083719779;0,090867786;0,174587566
14;REGIONAL;05/04/21;2021;14;ARS Alentejo;All;14059;4324;0;18383;95904;46885;1;142790;48980;46928;95908;0,204572506;0,104479076;0,100101962;0,204581038
15;REGIONAL;12/04/21;2021;15;ARS Alentejo;All;21914;2977;0;24891;117818;49862;1;167681;67914;49909;117823;0,251317187;0,144867129;0,106460723;0,251327853
16;REGIONAL;19/04/21;2021;16;ARS Alentejo;All;11381;5981;1;17363;129199;55843;2;185044;73311;55893;129204;0,275593961;0,156379452;0,119225174;0,275604626
17;REGIONAL;26/04/21;2021;17;ARS Alentejo;All;20231;2792;0;23023;149430;58635;2;208067;90753;58688;149441;0,31874864;0,193584925;0,125187179;0,318772104
