;TYPE;DATE;YEAR;WEEK;REGION;AGEGROUP;TOTAL_VAC_1;TOTAL_VAC_2;TOTAL_VAC_UNK;TOTAL;CUMUL_VAC_1;CUMUL_VAC_2;CUMUL_VAC_UNK;CUMUL;COVER_1_VAC;COVER;RECEIVED;DISTRIBUTED
1;REGIONAL;04/01/2021;2021;1;Outro;All;194;1;0;195;306;1;0;307;NA;NA;NA;NA
2;REGIONAL;11/01/2021;2021;2;Outro;All;52;6;0;58;358;7;0;365;NA;NA;NA;NA
3;REGIONAL;18/01/2021;2021;3;Outro;All;135;99;0;234;493;106;0;599;NA;NA;NA;NA
4;REGIONAL;25/01/2021;2021;4;Outro;All;103;179;1;283;596;285;1;882;NA;NA;NA;NA
5;REGIONAL;01/02/2021;2021;5;Outro;All;29;40;0;69;625;325;1;951;NA;NA;NA;NA
6;REGIONAL;08/02/2021;2021;6;Outro;All;69;120;0;189;694;445;1;1140;NA;NA;NA;NA
7;REGIONAL;15/02/2021;2021;7;Outro;All;147;106;1;254;841;551;2;1394;NA;NA;NA;NA
8;REGIONAL;22/02/2021;2021;8;Outro;All;73;19;0;92;914;570;2;1486;NA;NA;NA;NA
9;REGIONAL;01/03/2021;2021;9;Outro;All;55;42;0;97;969;612;2;1583;NA;NA;NA;NA
10;REGIONAL;08/03/2021;2021;10;Outro;All;282;13;0;295;1251;625;2;1878;NA;NA;NA;NA
11;REGIONAL;15/03/2021;2021;11;Outro;All;19;27;0;46;1270;652;2;1924;NA;NA;NA;NA
12;REGIONAL;22/03/2021;2021;12;Outro;All;315;5;0;320;1585;657;2;2244;NA;NA;NA;NA
13;REGIONAL;29/03/2021;2021;13;Outro;All;318;11;0;329;1903;668;2;2573;NA;NA;NA;NA
14;REGIONAL;05/04/2021;2021;14;Outro;All;60;16;0;76;1963;684;2;2649;NA;NA;NA;NA
15;REGIONAL;12/04/2021;2021;15;Outro;All;249;8;0;257;2212;692;2;2906;NA;NA;NA;NA
16;REGIONAL;19/04/2021;2021;16;Outro;All;93;25;0;118;2305;717;2;3024;NA;NA;NA;NA
17;REGIONAL;26/04/2021;2021;17;Outro;All;184;17;0;201;2489;734;2;3225;NA;NA;NA;NA
18;REGIONAL;03/05/2021;2021;18;Outro;All;111;66;0;177;2600;800;2;3402;NA;NA;NA;NA
19;REGIONAL;10/05/2021;2021;19;Outro;All;129;272;0;401;2729;1072;2;3803;NA;NA;NA;NA
20;REGIONAL;17/05/2021;2021;20;Outro;All;125;192;0;317;2854;1264;2;4120;NA;NA;NA;NA
21;REGIONAL;24/05/2021;2021;21;Outro;All;147;194;0;341;3001;1458;2;4461;NA;NA;NA;NA
22;REGIONAL;31/05/2021;2021;22;Outro;All;237;356;0;593;3238;1814;2;5054;NA;NA;NA;NA
23;REGIONAL;07/06/2021;2021;23;Outro;All;217;315;1;533;3455;2129;3;5587;NA;NA;NA;NA
24;REGIONAL;14/06/2021;2021;24;Outro;All;355;366;1;722;3810;2495;4;6309;NA;NA;NA;NA
25;REGIONAL;04/01/2021;2021;1;ARS Alentejo;All;3467;0;0;3467;4691;0;0;4691;0,01005164;0;NA;NA
26;REGIONAL;11/01/2021;2021;2;ARS Alentejo;All;5343;10;0;5353;10034;10;0;10044;0,021500354;2,14E-05;NA;NA
27;REGIONAL;18/01/2021;2021;3;ARS Alentejo;All;10439;1135;0;11574;20473;1145;0;21618;0,043868521;0,002453449;NA;NA
28;REGIONAL;25/01/2021;2021;4;ARS Alentejo;All;2305;3105;0;5410;22778;4250;0;27028;0,04880756;0,009106688;NA;NA
29;REGIONAL;01/02/2021;2021;5;ARS Alentejo;All;1445;4338;0;5783;24223;8588;0;32811;0,051903833;0,018401937;NA;NA
30;REGIONAL;08/02/2021;2021;6;ARS Alentejo;All;3336;8777;1;12114;27559;17365;1;44925;0,059052047;0,037208854;NA;NA
31;REGIONAL;15/02/2021;2021;7;ARS Alentejo;All;4053;2807;0;6860;31612;20172;1;51785;0,067736613;0,043223553;NA;NA
32;REGIONAL;22/02/2021;2021;8;ARS Alentejo;All;12033;1647;0;13680;43645;21819;1;65465;0,093520324;0,046752662;NA;NA
33;REGIONAL;01/03/2021;2021;9;ARS Alentejo;All;10433;2828;0;13261;54078;24647;1;78726;0,115875635;0,052812359;NA;NA
34;REGIONAL;08/03/2021;2021;10;ARS Alentejo;All;5807;1670;0;7477;59885;26317;1;86203;0,128318584;0,056390752;NA;NA
35;REGIONAL;15/03/2021;2021;11;ARS Alentejo;All;3685;7721;0;11406;63570;34038;1;97609;0,136214618;0,072934925;NA;NA
36;REGIONAL;22/03/2021;2021;12;ARS Alentejo;All;11877;2098;0;13975;75447;36136;1;111584;0,16166406;0,077430414;NA;NA
37;REGIONAL;29/03/2021;2021;13;ARS Alentejo;All;6121;6265;0;12386;81568;42401;1;123970;0,174779832;0,090854743;NA;NA
38;REGIONAL;05/04/2021;2021;14;ARS Alentejo;All;14030;4289;0;18319;95598;46690;1;142289;0,204842615;0,100044998;NA;NA
39;REGIONAL;12/04/2021;2021;15;ARS Alentejo;All;21834;2951;0;24785;117432;49641;1;167074;0,251627419;0,106368253;NA;NA
