"";"TYPE";"DATE";"YEAR";"WEEK";"REGION";"AGEGROUP";"TOTAL_VAC_1";"TOTAL_VAC_2";"TOTAL_VAC_UNK";"TOTAL";"CUMUL_VAC_1";"CUMUL_VAC_2";"CUMUL_VAC_UNK";"CUMUL";"CUMUL_VAC_INIT";"CUMUL_VAC_COMPLETE";"CUMUL_VAC_LEAST";"COVER_1_VAC";"COVER_INIT";"COVER_COMPLETE";"COVER_LEAST"
"1";"REGIONAL";2021-01-04;2021;1;"ARS Alentejo";"All";3468;3;0;3471;4702;4;0;4706;4698;4;4702;0,0100298206918912;0,010021288305084;8,53238680722352e-06;0,0100298206918912
"2";"REGIONAL";2021-01-11;2021;2;"ARS Alentejo";"All";5377;11;0;5388;10079;15;0;10094;10063;16;10079;0,0214994816575015;0,0214653521102726;3,41295472288941e-05;0,0214994816575015
"3";"REGIONAL";2021-01-18;2021;3;"ARS Alentejo";"All";10464;1138;0;11602;20543;1153;0;21696;19385;1158;20543;0,0438202055451982;0,041350079564507;0,00247012598069121;0,0438202055451982
"4";"REGIONAL";2021-01-25;2021;4;"ARS Alentejo";"All";2378;3105;0;5483;22921;4258;0;27179;18655;4266;22921;0,0488927095020926;0,0397929189721887;0,00909979052990388;0,0488927095020926
"5";"REGIONAL";2021-02-01;2021;5;"ARS Alentejo";"All";1455;4354;0;5809;24376;8612;0;32988;15755;8621;24376;0,0519963652032201;0,0336069385369516;0,0183894266662685;0,0519963652032201
"6";"REGIONAL";2021-02-08;2021;6;"ARS Alentejo";"All";3291;8803;0;12094;27667;17415;0;45082;10239;17428;27667;0,0590163864488633;0,0218407771297904;0,0371756093190729;0,0590163864488633
"7";"REGIONAL";2021-02-15;2021;7;"ARS Alentejo";"All";4081;2846;0;6927;31748;20261;0;52009;11474;20274;31748;0,0677215540889331;0,0244751515565207;0,0432464025324124;0,0677215540889331
"8";"REGIONAL";2021-02-22;2021;8;"ARS Alentejo";"All";12068;1642;0;13710;43816;21903;0;65719;21895;21921;43816;0,0934637650863264;0,0467041522860397;0,0467596128002867;0,0934637650863264
"9";"REGIONAL";2021-03-01;2021;9;"ARS Alentejo";"All";10488;2836;1;13325;54304;24739;1;79044;29541;24763;54304;0,115835683294866;0,0630138096680475;0,052821873626819;0,115835683294866
"10";"REGIONAL";2021-03-08;2021;10;"ARS Alentejo";"All";5850;1697;0;7547;60154;26436;1;86591;33686;26468;60154;0,128314299000431;0,0718554954970329;0,056458803503398;0,128314299000431
"11";"REGIONAL";2021-03-15;2021;11;"ARS Alentejo";"All";3744;7749;0;11493;63898;34185;1;98084;29681;34218;63899;0,136300613051992;0,0633124432063003;0,0729903029423936;0,136302746148694
"12";"REGIONAL";2021-03-22;2021;12;"ARS Alentejo";"All";11933;2127;0;14060;75831;36312;1;112144;39486;36347;75833;0,161754855994642;0,084227456367507;0,0775316658205383;0,161759122188045
"13";"REGIONAL";2021-03-29;2021;13;"ARS Alentejo";"All";6170;6324;0;12494;82001;42636;1;124638;39330;42674;82004;0,174916062644784;0,0838946932820252;0,0910277686528641;0,174922461934889
"14";"REGIONAL";2021-04-05;2021;14;"ARS Alentejo";"All";14071;4344;0;18415;96072;46980;1;143053;49055;47022;96077;0,204930866335894;0,104639058707087;0,100302473112316;0,204941531819403
"15";"REGIONAL";2021-04-12;2021;15;"ARS Alentejo";"All";21937;2990;0;24927;118009;49970;1;167980;67999;50016;118015;0,25172460868341;0,145048442626098;0,106688964637523;0,251737407263621
"16";"REGIONAL";2021-04-19;2021;16;"ARS Alentejo";"All";11415;5998;0;17413;129424;55968;1;185393;73414;56017;129431;0,276073907534524;0,156599161266377;0,11948967794506;0,276088839211437
"17";"REGIONAL";2021-04-26;2021;17;"ARS Alentejo";"All";20285;2808;0;23093;149709;58776;1;208486;90896;58828;149724;0,319343774130656;0,193889957807347;0,125485812773836;0,319375770581184
"18";"REGIONAL";2021-05-03;2021;18;"ARS Alentejo";"All";13729;14361;1;28091;163438;73137;2;236577;93372;73201;166573;0,348629058749749;0,199171505241019;0,156144811668892;0,355316316909911
"19";"REGIONAL";2021-05-10;2021;19;"ARS Alentejo";"All";17484;15307;0;32791;180922;88444;2;269368;96035;88528;184563;0,385924121484123;0,204851941757928;0,188838784817471;0,393690726575399
"20";"REGIONAL";2021-05-17;2021;20;"ARS Alentejo";"All";13276;12288;1;25565;194198;100732;3;294933;100324;100933;201257;0,414243113297298;0,214000793511973;0,215299849403373;0,429300642915346
"21";"REGIONAL";2021-05-24;2021;21;"ARS Alentejo";"All";7233;18614;0;25847;201431;119346;3;320780;90633;120001;210634;0,42967180174146;0,193328953374772;0,255973737313407;0,44930269068818
"22";"REGIONAL";2021-05-31;2021;22;"ARS Alentejo";"All";17436;7356;0;24792;218867;126702;3;345572;100304;128114;228418;0,466864475834147;0,213958131577937;0,273279550855158;0,487237682433095
"23";"REGIONAL";2021-06-07;2021;23;"ARS Alentejo";"All";13873;15308;1;29182;232740;142010;4;374754;98908;144023;242931;0,4964569263783;0,210980328582216;0,307214986284188;0,518195314866404
"24";"REGIONAL";2021-06-14;2021;24;"ARS Alentejo";"All";10292;19308;1;29601;243032;161318;5;404355;91095;163804;254899;0,518410757633287;0,194314444051007;0,34940977214261;0,543724216193617
"25";"REGIONAL";2021-06-21;2021;25;"ARS Alentejo";"All";10618;14379;0;24997;253650;175697;5;429352;89552;178879;268431;0,541059978413061;0,19102307584012;0,381566204922334;0,572589280762454
"26";"REGIONAL";2021-06-28;2021;26;"ARS Alentejo";"All";11032;29050;3;40085;264682;204747;8;469437;73174;208591;281765;0,564592301227384;0,156087218057943;0,44494477412639;0,601031992184334
"27";"REGIONAL";2021-07-05;2021;27;"ARS Alentejo";"All";15355;27965;0;43320;280037;232712;8;512757;59885;237939;297824;0,597346001083613;0,127740495987645;0,507546896130989;0,635287392118634
