;TYPE;DATE;YEAR;WEEK;REGION;AGEGROUP;TOTAL_VAC_1;TOTAL_VAC_2;TOTAL_VAC_UNK;TOTAL;CUMUL_VAC_1;CUMUL_VAC_2;CUMUL_VAC_UNK;CUMUL;CUMUL_VAC_INIT;CUMUL_VAC_COMPLETE;CUMUL_VAC_LEAST;COVER_1_VAC;COVER_INIT;COVER_COMPLETE;COVER_LEAST
1;REGIONAL;04/01/21;2021;1;ARS Alentejo;All;3474;1;0;3475;4699;1;0;4700;4698;1;4699;0,010023421;0,010021288;2,13E-06;0,010023421
2;REGIONAL;11/01/21;2021;2;ARS Alentejo;All;5357;10;0;5367;10056;11;0;10067;10045;11;10056;0,02145042;0,021426956;2,35E-05;0,02145042
3;REGIONAL;18/01/21;2021;3;ARS Alentejo;All;10430;1133;0;11563;20486;1144;0;21630;19342;1144;20486;0,043698619;0,041258356;0,002440263;0,043698619
4;REGIONAL;25/01/21;2021;4;ARS Alentejo;All;2297;3122;0;5419;22783;4266;0;27049;18516;4267;22783;0,048598342;0,039496419;0,009101924;0,048598342
5;REGIONAL;01/02/21;2021;5;ARS Alentejo;All;1452;4339;0;5791;24235;8605;0;32840;15628;8607;24235;0,051695599;0,033336035;0,018359563;0,051695599
6;REGIONAL;08/02/21;2021;6;ARS Alentejo;All;3335;8778;0;12113;27570;17383;0;44953;10184;17386;27570;0,058809476;0,021723457;0,037086019;0,058809476
7;REGIONAL;15/02/21;2021;7;ARS Alentejo;All;4060;2812;0;6872;31630;20195;0;51825;11432;20198;31630;0,067469849;0,024385561;0,043084287;0,067469849
8;REGIONAL;22/02/21;2021;8;ARS Alentejo;All;12033;1651;0;13684;43663;21846;0;65509;21813;21850;43663;0,093137401;0,046529238;0,046608163;0,093137401
9;REGIONAL;01/03/21;2021;9;ARS Alentejo;All;10459;2835;1;13295;54122;24681;1;78804;29436;24686;54122;0,11544746;0,062789835;0,052657625;0,11544746
10;REGIONAL;08/03/21;2021;10;ARS Alentejo;All;5829;1671;0;7500;59951;26352;1;86304;33589;26362;59951;0,12788128;0,071648585;0,056232695;0,12788128
