;TYPE;DATE;YEAR;WEEK;REGION;AGEGROUP;TOTAL_VAC_1;TOTAL_VAC_2;TOTAL_VAC_UNK;TOTAL;CUMUL_VAC_1;CUMUL_VAC_2;CUMUL_VAC_UNK;CUMUL;CUMUL_VAC_INIT;CUMUL_VAC_COMPLETE;CUMUL_VAC_LEAST;COVER_1_VAC;COVER;COVER_INIT;COVER_COMPLETE;COVER_LEAST
1;REGIONAL;04/01/21;2021;1;ARS Alentejo;All;3474;1;0;3475;4698;1;0;4699;4697;1;4698;0,010156345;2,16E-06;0,010154183;2,16E-06;0,010156345
2;REGIONAL;11/01/21;2021;2;ARS Alentejo;All;5353;10;0;5363;10051;11;0;10062;10040;11;10051;0,021728697;2,38E-05;0,021704917;2,38E-05;0,021728697
3;REGIONAL;18/01/21;2021;3;ARS Alentejo;All;10430;1133;0;11563;20481;1144;0;21625;19337;1144;20481;0,044276733;0,00247315;0,041803583;0,00247315;0,044276733
4;REGIONAL;25/01/21;2021;4;ARS Alentejo;All;2295;3122;0;5417;22776;4266;0;27042;18510;4266;22776;0,049238166;0,009222428;0,040015738;0,009222428;0,049238166
5;REGIONAL;01/02/21;2021;5;ARS Alentejo;All;1448;4339;0;5787;24224;8605;0;32829;15619;8605;24224;0,052368517;0,01860267;0,033765846;0,01860267;0,052368517
6;REGIONAL;08/02/21;2021;6;ARS Alentejo;All;3334;8778;0;12112;27558;17383;0;44941;10175;17383;27558;0,059576106;0,03757934;0,021996766;0,03757934;0,059576106
7;REGIONAL;15/02/21;2021;7;ARS Alentejo;All;4057;2812;0;6869;31615;20195;0;51810;11420;20195;31615;0,068346708;0,043658446;0,024688262;0,043658446;0,068346708
8;REGIONAL;22/02/21;2021;8;ARS Alentejo;All;12033;1651;0;13684;43648;21846;0;65494;21802;21846;43648;0,094360181;0,047227651;0,04713253;0,047227651;0,094360181
9;REGIONAL;01/03/21;2021;9;ARS Alentejo;All;10458;2831;1;13290;54106;24677;1;78784;29429;24677;54106;0,116968748;0,053347832;0,063620916;0,053347832;0,116968748
10;REGIONAL;08/03/21;2021;10;ARS Alentejo;All;5828;1669;0;7497;59934;26346;1;86281;33588;26346;59934;0,129567977;0,05695595;0,072612027;0,05695595;0,129567977
