"";"TYPE";"DATE";"YEAR";"WEEK";"REGION";"AGEGROUP";"TOTAL_VAC_1";"TOTAL_VAC_2";"TOTAL_VAC_UNK";"TOTAL";"CUMUL_VAC_1";"CUMUL_VAC_2";"CUMUL_VAC_UNK";"CUMUL";"CUMUL_VAC_INIT";"CUMUL_VAC_COMPLETE";"CUMUL_VAC_LEAST";"COVER_1_VAC";"COVER_INIT";"COVER_COMPLETE";"COVER_LEAST"
"1";"REGIONAL";2021-01-04;2021;1;"ARS Alentejo";"All";3477;1;0;3478;4704;1;0;4705;4703;1;4704;0,0100340868852949;0,0100319537885931;2,13309670180588e-06;0,0100340868852949
"2";"REGIONAL";2021-01-11;2021;2;"ARS Alentejo";"All";5357;11;0;5368;10061;12;0;10073;10047;14;10061;0,021461085916869;0,0214312225630437;2,98633538252823e-05;0,021461085916869
"3";"REGIONAL";2021-01-18;2021;3;"ARS Alentejo";"All";10430;1133;0;11563;20491;1145;0;21636;19340;1151;20491;0,0437092845167043;0,0412540902129257;0,00245519430377857;0,0437092845167043
"4";"REGIONAL";2021-01-25;2021;4;"ARS Alentejo";"All";2298;3122;0;5420;22789;4267;0;27056;18513;4276;22789;0,0486111407374542;0,0394900192405322;0,00912112149692194;0,0486111407374542
"5";"REGIONAL";2021-02-01;2021;5;"ARS Alentejo";"All";1454;4342;0;5796;24243;8609;0;32852;15624;8619;24243;0,0517126633418799;0,0333275028690151;0,0183851604728649;0,0517126633418799
"6";"REGIONAL";2021-02-08;2021;6;"ARS Alentejo";"All";3335;8782;0;12117;27578;17391;0;44969;10173;17405;27578;0,0588265408424025;0,0216999927474712;0,0371265480949313;0,0588265408424025
"7";"REGIONAL";2021-02-15;2021;7;"ARS Alentejo";"All";4060;2812;0;6872;31638;20203;0;51841;11421;20217;31638;0,0674869134517344;0,024362097431325;0,0431248160204095;0,0674869134517344
"8";"REGIONAL";2021-02-22;2021;8;"ARS Alentejo";"All";12033;1652;0;13685;43671;21855;0;65526;21798;21873;43671;0,0931544660645646;0,0464972419059646;0,0466572241586;0,0931544660645646
"9";"REGIONAL";2021-03-01;2021;9;"ARS Alentejo";"All";10462;2836;1;13299;54133;24691;1;78825;29419;24714;54133;0,115470923758858;0,0627535718704272;0,0527173518884305;0,115470923758858
"10";"REGIONAL";2021-03-08;2021;10;"ARS Alentejo";"All";5832;1672;0;7504;59965;26363;1;86329;33570;26395;59965;0,12791114372379;0,0716080562796234;0,0563030874441662;0,12791114372379
"11";"REGIONAL";2021-03-15;2021;11;"ARS Alentejo";"All";3712;7732;0;11444;63677;34095;1;97773;29550;34128;63678;0,135829198680893;0,0630330075383637;0,0727983242392311;0,135831331777595
"12";"REGIONAL";2021-03-22;2021;12;"ARS Alentejo";"All";11913;2110;0;14023;75590;36205;1;111796;39352;36240;75592;0,161240779689506;0,083941621409465;0,0773034244734451;0,16124504588291
"13";"REGIONAL";2021-03-29;2021;13;"ARS Alentejo";"All";6157;6281;0;12438;81747;42486;1;124234;39225;42524;81749;0,174374256082525;0,0836707181283356;0,0907078041475932;0,174378522275929
"14";"REGIONAL";2021-04-05;2021;14;"ARS Alentejo";"All";14056;4306;0;18362;95803;46792;1;142596;48972;46835;95807;0,204357063323109;0,104462011680838;0,0999035840290784;0,204365595709916
"15";"REGIONAL";2021-04-12;2021;15;"ARS Alentejo";"All";21911;2967;0;24878;117714;49759;1;167474;67913;49806;117719;0,251095345156377;0,144864996309743;0,106241014330144;0,251106010639886
"16";"REGIONAL";2021-04-19;2021;16;"ARS Alentejo";"All";11373;5960;1;17334;129087;55719;2;184808;73323;55769;129092;0,275355053946016;0,156405049466513;0,118960669963012;0,275365719429525
"17";"REGIONAL";2021-04-26;2021;17;"ARS Alentejo";"All";20219;2781;0;23000;149306;58500;2;207808;90764;58553;149317;0,318484136159829;0,193608389042709;0,12489921118084;0,318507600223549
"18";"REGIONAL";2021-05-03;2021;18;"ARS Alentejo";"All";13679;14321;1;28001;162985;72821;3;235809;93227;72884;166111;0,347662765943831;0,198862206219257;0,15546862001442;0,354330826233676
"19";"REGIONAL";2021-05-10;2021;19;"ARS Alentejo";"All";17432;15263;0;32695;180417;88084;3;268504;95884;88165;184049;0,384846907649711;0,204529844155955;0,188064470714715;0,39259431487067
"20";"REGIONAL";2021-05-17;2021;20;"ARS Alentejo";"All";13220;12215;1;25436;193637;100299;4;293940;100189;100494;200683;0,413046446047585;0,213712825457229;0,21436341995128;0,428076245408509
"21";"REGIONAL";2021-05-24;2021;21;"ARS Alentejo";"All";7199;18514;0;25713;200836;118813;4;319653;90550;119461;210011;0,428402609203886;0,193151906348522;0,254821865094432;0,447973771442955
