;TYPE;DATE;YEAR;WEEK;REGION;AGEGROUP;TOTAL_VAC_1;TOTAL_VAC_2;TOTAL_VAC_UNK;TOTAL;CUMUL_VAC_1;CUMUL_VAC_2;CUMUL_VAC_UNK;CUMUL;CUMUL_VAC_INIT;CUMUL_VAC_COMPLETE;CUMUL_VAC_LEAST;COVER_1_VAC;COVER_INIT;COVER_COMPLETE;COVER_LEAST
1;REGIONAL;04/01/2021;2021;1;ARS Alentejo;All;3468;3;0;3471;4702;4;0;4706;4698;4;4702;0,010029821;0,010021288;8,53E-06;0,010029821
2;REGIONAL;11/01/2021;2021;2;ARS Alentejo;All;5376;11;0;5387;10078;15;0;10093;10062;16;10078;0,021497349;0,021463219;3,41E-05;0,021497349
3;REGIONAL;18/01/2021;2021;3;ARS Alentejo;All;10454;1138;0;11592;20532;1153;0;21685;19374;1158;20532;0,043796741;0,041326616;0,002470126;0,043796741
4;REGIONAL;25/01/2021;2021;4;ARS Alentejo;All;2373;3104;0;5477;22905;4257;0;27162;18640;4265;22905;0,04885858;0,039760923;0,009097657;0,04885858
5;REGIONAL;01/02/2021;2021;5;ARS Alentejo;All;1454;4354;0;5808;24359;8611;0;32970;15739;8620;24359;0,051960103;0,033572809;0,018387294;0,051960103
6;REGIONAL;08/02/2021;2021;6;ARS Alentejo;All;3290;8798;0;12088;27649;17409;0;45058;10227;17422;27649;0,058977991;0,02181518;0,037162811;0,058977991
7;REGIONAL;15/02/2021;2021;7;ARS Alentejo;All;4080;2844;0;6924;31729;20253;0;51982;11463;20266;31729;0,067681025;0,024451687;0,043229338;0,067681025
8;REGIONAL;22/02/2021;2021;8;ARS Alentejo;All;12066;1640;0;13706;43795;21893;0;65688;21884;21911;43795;0,09341897;0,046680688;0,046738282;0,09341897
9;REGIONAL;01/03/2021;2021;9;ARS Alentejo;All;10487;2836;1;13324;54282;24729;1;79012;29529;24753;54282;0,115788755;0,062988213;0,052800543;0,115788755
10;REGIONAL;08/03/2021;2021;10;ARS Alentejo;All;5849;1696;0;7545;60131;26425;1;86557;33674;26457;60131;0,128265238;0,071829898;0,056435339;0,128265238
11;REGIONAL;15/03/2021;2021;11;ARS Alentejo;All;3736;7749;0;11485;63867;34174;1;98042;29661;34207;63868;0,136234487;0,063269781;0,072966839;0,13623662
12;REGIONAL;22/03/2021;2021;12;ARS Alentejo;All;11924;2123;0;14047;75791;36297;1;112089;39461;36332;75793;0,161669532;0,084174129;0,077499669;0,161673798
13;REGIONAL;29/03/2021;2021;13;ARS Alentejo;All;6167;6316;0;12483;81958;42613;1;124572;39309;42651;81960;0,174824339;0,083849898;0,090978707;0,174828606
14;REGIONAL;05/04/2021;2021;14;ARS Alentejo;All;14065;4336;0;18401;96023;46949;1;142973;49035;46992;96027;0,204826345;0,104596397;0,10023848;0,204834877
15;REGIONAL;12/04/2021;2021;15;ARS Alentejo;All;21936;2982;0;24918;117959;49931;1;167891;67986;49978;117964;0,251617954;0,145020712;0,106607907;0,251628619
16;REGIONAL;19/04/2021;2021;16;ARS Alentejo;All;11411;5992;1;17404;129370;55923;2;185295;73402;55973;129375;0,27595872;0,156573564;0,119395822;0,275969386
17;REGIONAL;26/04/2021;2021;17;ARS Alentejo;All;20277;2807;0;23084;149647;58730;2;208379;90877;58783;149660;0,319211522;0,193849429;0,125389823;0,319239252
18;REGIONAL;03/05/2021;2021;18;ARS Alentejo;All;13729;14355;1;28085;163376;73085;3;236464;93358;73150;166508;0,348496807;0,199141642;0,156036024;0,355177666
19;REGIONAL;10/05/2021;2021;19;ARS Alentejo;All;17478;15305;0;32783;180854;88390;3;269247;96017;88475;184492;0,385779071;0,204813546;0,188725731;0,393539277
20;REGIONAL;17/05/2021;2021;20;ARS Alentejo;All;13272;12282;1;25555;194126;100672;4;294802;100306;100875;201181;0,41408953;0,213962398;0,21517613;0,429138528
21;REGIONAL;24/05/2021;2021;21;ARS Alentejo;All;7232;18612;0;25844;201358;119284;4;320646;90611;119946;210557;0,429516086;0,193282025;0,255856417;0,449138442
22;REGIONAL;31/05/2021;2021;22;ARS Alentejo;All;17432;7353;0;24785;218790;126637;4;345431;100279;128057;228336;0,466700227;0,213904804;0,273157964;0,487062769
23;REGIONAL;07/06/2021;2021;23;ARS Alentejo;All;13871;15306;0;29177;232661;141943;4;374608;98882;143964;242846;0,496288412;0,210924868;0,307089134;0,518014002
24;REGIONAL;14/06/2021;2021;24;ARS Alentejo;All;10289;19302;1;29592;242950;161245;5;404200;91071;163740;254811;0,518235844;0,19426325;0,349273254;0,543536504
25;REGIONAL;21/06/2021;2021;25;ARS Alentejo;All;10614;14369;0;24983;253564;175614;5;429183;89526;178809;268335;0,540876532;0,190967615;0,381416888;0,572384503
26;REGIONAL;28/06/2021;2021;26;ARS Alentejo;All;11025;29042;3;40070;264589;204656;8;469253;73149;208513;281662;0,564393923;0,156033891;0,444778393;0,600812283
27;REGIONAL;05/07/2021;2021;27;ARS Alentejo;All;15353;27959;0;43312;279942;232615;8;512565;59849;237870;297719;0,597143357;0,127663705;0,507399712;0,635063417
28;REGIONAL;12/07/2021;2021;28;ARS Alentejo;All;8205;20421;1;28627;288147;253036;9;541192;49631;259781;309412;0,614645415;0,105867722;0,554137994;0,660005717
29;REGIONAL;19/07/2021;2021;29;ARS Alentejo;All;3527;16779;3;20309;291674;269815;12;561501;39431;277841;317272;0,622168847;0,084110136;0,592661721;0,676771857
30;REGIONAL;26/07/2021;2021;30;ARS Alentejo;All;2256;16585;0;18841;293930;286400;12;580342;28705;295453;324158;0,626981114;0,061230541;0,63022982;0,691460361
