;TYPE;DATE;YEAR;WEEK;REGION;AGEGROUP;TOTAL_VAC_1;TOTAL_VAC_2;TOTAL_VAC_UNK;TOTAL;CUMUL_VAC_1;CUMUL_VAC_2;CUMUL_VAC_UNK;CUMUL;CUMUL_VAC_INIT;CUMUL_VAC_COMPLETE;CUMUL_VAC_LEAST;COVER_1_VAC;COVER_INIT;COVER_COMPLETE;COVER_LEAST
1;REGIONAL;04/01/21;2021;1;ARS Alentejo;All;3484;1;0;3485;4713;1;0;4714;4712;1;4713;0,010053285;0,010051152;0,000002133;0,010053285
2;REGIONAL;11/01/21;2021;2;ARS Alentejo;All;5361;12;0;5373;10074;13;0;10087;10060;14;10074;0,021488816;0,021458953;0,000029863;0,021488816
3;REGIONAL;18/01/21;2021;3;ARS Alentejo;All;10435;1133;0;11568;20509;1146;0;21655;19358;1151;20509;0,043747680;0,041292486;0,002455194;0,043747680
4;REGIONAL;25/01/21;2021;4;ARS Alentejo;All;2302;3122;0;5424;22811;4268;0;27079;18535;4276;22811;0,048658069;0,039536947;0,009121121;0,048658069
5;REGIONAL;01/02/21;2021;5;ARS Alentejo;All;1456;4347;0;5803;24267;8615;0;32882;15643;8624;24267;0,051763858;0,033368032;0,018395826;0,051763858
6;REGIONAL;08/02/21;2021;6;ARS Alentejo;All;3335;8787;0;12122;27602;17402;0;45004;10187;17415;27602;0,058877735;0,021729856;0,037147879;0,058877735
7;REGIONAL;15/02/21;2021;7;ARS Alentejo;All;4065;2814;0;6879;31667;20216;0;51883;11438;20229;31667;0,067548773;0,024398360;0,043150413;0,067548773
8;REGIONAL;22/02/21;2021;8;ARS Alentejo;All;12041;1653;0;13694;43708;21869;0;65577;21822;21886;43708;0,093233391;0,046548436;0,046684954;0,093233391
9;REGIONAL;01/03/21;2021;9;ARS Alentejo;All;10468;2837;1;13306;54176;24706;1;78883;29448;24728;54176;0,115562647;0,062815432;0,052747215;0,115562647
10;REGIONAL;08/03/21;2021;10;ARS Alentejo;All;5841;1675;0;7516;60017;26381;1;86399;33605;26412;60017;0,128022065;0,071682715;0,056339350;0,128022065
11;REGIONAL;15/03/21;2021;11;ARS Alentejo;All;3716;7745;0;11461;63733;34126;1;97860;29576;34158;63734;0,135948652;0,063088468;0,072862317;0,135950785
12;REGIONAL;22/03/21;2021;12;ARS Alentejo;All;11918;2117;0;14035;75651;36243;1;111895;39376;36277;75653;0,161370899;0,083992816;0,077382349;0,161375165
13;REGIONAL;29/03/21;2021;13;ARS Alentejo;All;6159;6301;0;12460;81810;42544;1;124355;39231;42581;81812;0,174508641;0,083683517;0,090829391;0,174512907
14;REGIONAL;05/04/21;2021;14;ARS Alentejo;All;14057;4320;0;18377;95867;46864;1;142732;48965;46906;95871;0,204493582;0,104447080;0,100055034;0,204502114
15;REGIONAL;12/04/21;2021;15;ARS Alentejo;All;21913;2975;0;24888;117780;49839;1;167620;67900;49885;117785;0,251236130;0,144837266;0,106409529;0,251246795
16;REGIONAL;19/04/21;2021;16;ARS Alentejo;All;11377;5974;1;17352;129157;55813;2;184972;73300;55862;129162;0,275504371;0,156355988;0,119159048;0,275515036
17;REGIONAL;26/04/21;2021;17;ARS Alentejo;All;20228;2788;0;23016;149385;58601;2;207988;90743;58653;149396;0,318652651;0,193563594;0,125112521;0,318676115
18;REGIONAL;03/05/21;2021;18;ARS Alentejo;All;13685;14342;1;28028;163070;72943;3;236016;93189;73007;166196;0,347844079;0,198781149;0,155730991;0,354512139
19;REGIONAL;10/05/21;2021;19;ARS Alentejo;All;17439;15293;0;32732;180509;88236;3;268748;95822;88319;184141;0,385043153;0,204397592;0,188392968;0,392790560
20;REGIONAL;17/05/21;2021;20;ARS Alentejo;All;13225;12238;1;25464;193734;100474;4;294212;100106;100674;200780;0,413253356;0,213535778;0,214747377;0,428283156
21;REGIONAL;24/05/21;2021;21;ARS Alentejo;All;7203;18553;0;25756;200937;119027;4;319968;90431;119681;210112;0,428618052;0,192898068;0,255291146;0,448189214
22;REGIONAL;31/05/21;2021;22;ARS Alentejo;All;17405;7322;0;24727;218342;126349;4;344695;100102;127757;227859;0,465744600;0,213527246;0,272518035;0,486045281
23;REGIONAL;07/06/21;2021;23;ARS Alentejo;All;13827;15291;0;29118;232169;141640;4;373813;98673;143648;242321;0,495238928;0,210479051;0,306415075;0,516894126
24;REGIONAL;14/06/21;2021;24;ARS Alentejo;All;10243;19266;1;29510;242412;160906;5;403323;90856;163384;254240;0,517088238;0,193804634;0,348513872;0,542318505
25;REGIONAL;21/06/21;2021;25;ARS Alentejo;All;10559;14202;1;24762;252971;175108;6;428085;89288;178285;267573;0,539611606;0,190459938;0,380299145;0,570759084
