;TYPE;DATE;YEAR;WEEK;REGION;AGEGROUP;TOTAL_VAC_1;TOTAL_VAC_2;TOTAL_VAC_UNK;TOTAL;CUMUL_VAC_1;CUMUL_VAC_2;CUMUL_VAC_UNK;CUMUL;CUMUL_VAC_INIT;CUMUL_VAC_COMPLETE;CUMUL_VAC_LEAST;COVER_1_VAC;COVER;COVER_INIT;COVER_COMPLETE;COVER_LEAST;RECEIVED;DISTRIBUTED
1;REGIONAL;04/01/2021;2021;1;Outro;All;388;1;0;389;2441;2;0;2443;2439;2;2441;NA;NA;NA;NA;NA;NA;NA
2;REGIONAL;11/01/2021;2021;2;Outro;All;140;6;0;146;2581;8;0;2589;2573;8;2581;NA;NA;NA;NA;NA;NA;NA
3;REGIONAL;18/01/2021;2021;3;Outro;All;178;139;0;317;2759;147;0;2906;2612;147;2759;NA;NA;NA;NA;NA;NA;NA
4;REGIONAL;25/01/2021;2021;4;Outro;All;128;286;1;415;2887;433;1;3321;2454;433;2887;NA;NA;NA;NA;NA;NA;NA
5;REGIONAL;01/02/2021;2021;5;Outro;All;163;125;0;288;3050;558;1;3609;2492;558;3050;NA;NA;NA;NA;NA;NA;NA
6;REGIONAL;08/02/2021;2021;6;Outro;All;182;168;0;350;3232;726;1;3959;2506;726;3232;NA;NA;NA;NA;NA;NA;NA
7;REGIONAL;15/02/2021;2021;7;Outro;All;249;136;1;386;3481;862;2;4345;2619;862;3481;NA;NA;NA;NA;NA;NA;NA
8;REGIONAL;22/02/2021;2021;8;Outro;All;152;145;0;297;3633;1007;2;4642;2626;1007;3633;NA;NA;NA;NA;NA;NA;NA
9;REGIONAL;01/03/2021;2021;9;Outro;All;99;160;0;259;3732;1167;2;4901;2565;1167;3732;NA;NA;NA;NA;NA;NA;NA
10;REGIONAL;08/03/2021;2021;10;Outro;All;484;110;0;594;4216;1277;2;5495;2939;1277;4216;NA;NA;NA;NA;NA;NA;NA
11;REGIONAL;15/03/2021;2021;11;Outro;All;175;109;0;284;4391;1386;2;5779;3005;1386;4391;NA;NA;NA;NA;NA;NA;NA
12;REGIONAL;22/03/2021;2021;12;Outro;All;552;11;0;563;4943;1397;2;6342;3546;1397;4943;NA;NA;NA;NA;NA;NA;NA
13;REGIONAL;29/03/2021;2021;13;Outro;All;370;48;0;418;5313;1445;2;6760;3868;1445;5313;NA;NA;NA;NA;NA;NA;NA
14;REGIONAL;05/04/2021;2021;14;Outro;All;331;68;0;399;5644;1513;2;7159;4131;1513;5644;NA;NA;NA;NA;NA;NA;NA
15;REGIONAL;12/04/2021;2021;15;Outro;All;472;58;0;530;6116;1571;2;7689;4545;1571;6116;NA;NA;NA;NA;NA;NA;NA
16;REGIONAL;19/04/2021;2021;16;Outro;All;320;103;0;423;6436;1674;2;8112;4762;1674;6436;NA;NA;NA;NA;NA;NA;NA
