;TYPE;DATE;YEAR;WEEK;REGION;AGEGROUP;TOTAL_VAC_1;TOTAL_VAC_2;TOTAL_VAC_UNK;TOTAL;CUMUL_VAC_1;CUMUL_VAC_2;CUMUL_VAC_UNK;CUMUL;COVER_1_VAC;COVER;RECEIVED;DISTRIBUTED
1;REGIONAL;08/02/21;2021;6;Outro;All;69;120;0;189;692;444;1;1137;NA;NA;NA;NA
2;REGIONAL;15/02/21;2021;7;Outro;All;147;106;1;254;839;550;2;1391;NA;NA;NA;NA
3;REGIONAL;22/02/21;2021;8;Outro;All;73;19;0;92;912;569;2;1483;NA;NA;NA;NA
4;REGIONAL;01/03/21;2021;9;Outro;All;55;42;0;97;967;611;2;1580;NA;NA;NA;NA
5;REGIONAL;08/03/21;2021;10;Outro;All;280;13;0;293;1247;624;2;1873;NA;NA;NA;NA
6;REGIONAL;15/03/21;2021;11;Outro;All;19;27;0;46;1266;651;2;1919;NA;NA;NA;NA
7;REGIONAL;22/03/21;2021;12;Outro;All;313;4;0;317;1579;655;2;2236;NA;NA;NA;NA
8;REGIONAL;29/03/21;2021;13;Outro;All;317;11;0;328;1896;666;2;2564;NA;NA;NA;NA
9;REGIONAL;05/04/21;2021;14;Outro;All;59;16;0;75;1955;682;2;2639;NA;NA;NA;NA
10;REGIONAL;12/04/21;2021;15;Outro;All;248;8;0;256;2203;690;2;2895;NA;NA;NA;NA
11;REGIONAL;19/04/21;2021;16;Outro;All;91;25;0;116;2294;715;2;3011;NA;NA;NA;NA
12;REGIONAL;26/04/21;2021;17;Outro;All;184;15;0;199;2478;730;2;3210;NA;NA;NA;NA
13;REGIONAL;03/05/21;2021;18;Outro;All;111;66;0;177;2589;796;2;3387;NA;NA;NA;NA
14;REGIONAL;10/05/21;2021;19;Outro;All;126;271;0;397;2715;1067;2;3784;NA;NA;NA;NA
15;REGIONAL;17/05/21;2021;20;Outro;All;116;192;0;308;2831;1259;2;4092;NA;NA;NA;NA
16;REGIONAL;24/05/21;2021;21;Outro;All;141;194;0;335;2972;1453;2;4427;NA;NA;NA;NA
17;REGIONAL;31/05/21;2021;22;Outro;All;237;355;0;592;3209;1808;2;5019;NA;NA;NA;NA
18;REGIONAL;08/02/21;2021;6;ARS Alentejo;All;3336;8777;1;12114;27555;17362;1;44918;0,059043476;0,037202426;NA;NA
19;REGIONAL;15/02/21;2021;7;ARS Alentejo;All;4054;2807;0;6861;31609;20169;1;51779;0,067730185;0,043217125;NA;NA
20;REGIONAL;22/02/21;2021;8;ARS Alentejo;All;12033;1647;0;13680;43642;21816;1;65459;0,093513896;0,046746234;NA;NA
21;REGIONAL;01/03/21;2021;9;ARS Alentejo;All;10432;2828;0;13260;54074;24644;1;78719;0,115867064;0,052805931;NA;NA
22;REGIONAL;08/03/21;2021;10;ARS Alentejo;All;5800;1670;0;7470;59874;26314;1;86189;0,128295014;0,056384324;NA;NA
23;REGIONAL;15/03/21;2021;11;ARS Alentejo;All;3682;7721;0;11403;63556;34035;1;97592;0,136184619;0,072928496;NA;NA
24;REGIONAL;22/03/21;2021;12;ARS Alentejo;All;11859;2098;0;13957;75415;36133;1;111549;0,161595492;0,077423986;NA;NA
25;REGIONAL;29/03/21;2021;13;ARS Alentejo;All;6117;6264;0;12381;81532;42397;1;123930;0,174702693;0,090846172;NA;NA
26;REGIONAL;05/04/21;2021;14;ARS Alentejo;All;14025;4287;0;18312;95557;46684;1;142242;0,204754762;0,100032141;NA;NA
27;REGIONAL;12/04/21;2021;15;ARS Alentejo;All;21832;2950;0;24782;117389;49634;1;167024;0,25153528;0,106353254;NA;NA
28;REGIONAL;19/04/21;2021;16;ARS Alentejo;All;11300;5941;2;17243;128689;55575;3;184267;0,275748355;0,119083332;NA;NA
29;REGIONAL;26/04/21;2021;17;ARS Alentejo;All;20148;2759;0;22907;148837;58334;3;207174;0,318920483;0,124995179;NA;NA
30;REGIONAL;03/05/21;2021;18;ARS Alentejo;All;13608;14275;1;27884;162445;72609;4;235058;0,348079025;0,155582935;NA;NA
31;REGIONAL;10/05/21;2021;19;ARS Alentejo;All;17333;15209;0;32542;179778;87818;4;267600;0,38521931;0,18817202;NA;NA
32;REGIONAL;17/05/21;2021;20;ARS Alentejo;All;13141;12164;1;25306;192919;99982;5;292906;0,413377188;0,214236431;NA;NA
33;REGIONAL;24/05/21;2021;21;ARS Alentejo;All;7122;18432;4;25558;200041;118414;9;318464;0,428637854;0,253731599;NA;NA
34;REGIONAL;31/05/21;2021;22;ARS Alentejo;All;17304;7204;0;24508;217345;125618;9;342972;0,465716;0,26916797;NA;NA
35;REGIONAL;08/02/21;2021;6;ARS Algarve;All;2381;2896;1;5278;12747;6307;1;19055;0,029075788;0,014386208;NA;NA
36;REGIONAL;15/02/21;2021;7;ARS Algarve;All;3179;2114;0;5293;15926;8421;1;24348;0,036327058;0,019208223;NA;NA
37;REGIONAL;22/02/21;2021;8;ARS Algarve;All;8478;1065;0;9543;24404;9486;1;33891;0,055665297;0,021637478;NA;NA
38;REGIONAL;01/03/21;2021;9;ARS Algarve;All;4617;549;0;5166;29021;10035;1;39057;0,066196631;0,022889741;NA;NA
39;REGIONAL;08/03/21;2021;10;ARS Algarve;All;5075;1535;0;6610;34096;11570;1;45667;0,077772658;0,026391062;NA;NA
40;REGIONAL;15/03/21;2021;11;ARS Algarve;All;2653;2994;0;5647;36749;14564;1;51314;0,083824126;0,033220348;NA;NA
41;REGIONAL;22/03/21;2021;12;ARS Algarve;All;9356;4284;0;13640;46105;18848;1;64954;0,105165075;0,042992112;NA;NA
42;REGIONAL;29/03/21;2021;13;ARS Algarve;All;4196;2907;0;7103;50301;21755;1;72057;0,114736112;0,049622952;NA;NA
43;REGIONAL;05/04/21;2021;14;ARS Algarve;All;8606;1765;0;10371;58907;23520;1;82428;0,134366318;0,053648901;NA;NA
44;REGIONAL;12/04/21;2021;15;ARS Algarve;All;13584;2141;0;15725;72491;25661;1;98153;0,165351295;0,058532502;NA;NA
45;REGIONAL;19/04/21;2021;16;ARS Algarve;All;7173;5480;0;12653;79664;31141;1;110806;0,181712842;0,071032331;NA;NA
46;REGIONAL;26/04/21;2021;17;ARS Algarve;All;16320;3224;0;19544;95984;34365;1;130350;0,218938609;0,078386245;NA;NA
47;REGIONAL;03/05/21;2021;18;ARS Algarve;All;16441;8890;1;25332;112425;43255;2;155682;0,256440377;0,098664252;NA;NA
48;REGIONAL;10/05/21;2021;19;ARS Algarve;All;9638;11259;0;20897;122063;54514;2;176579;0,278424565;0,124345926;NA;NA
49;REGIONAL;17/05/21;2021;20;ARS Algarve;All;11910;10847;2;22759;133973;65361;4;199338;0,305591164;0,149087832;NA;NA
50;REGIONAL;24/05/21;2021;21;ARS Algarve;All;7512;18720;7;26239;141485;84081;11;225577;0,322725966;0,191787977;NA;NA
51;REGIONAL;31/05/21;2021;22;ARS Algarve;All;8089;12713;0;20802;149574;96794;11;246379;0,3411769;0,220786212;NA;NA
52;REGIONAL;08/02/21;2021;6;ARS Centro;All;7478;27106;4;34588;79890;51039;8;130937;0,049133113;0,031389473;NA;NA
53;REGIONAL;15/02/21;2021;7;ARS Centro;All;25463;9954;3;35420;105353;60993;11;166357;0,064793102;0,037511278;NA;NA
54;REGIONAL;22/02/21;2021;8;ARS Centro;All;38325;3080;1;41406;143678;64073;12;207763;0,088363343;0,039405507;NA;NA
55;REGIONAL;01/03/21;2021;9;ARS Centro;All;28388;5881;1;34270;172066;69954;13;242033;0,105822234;0,043022378;NA;NA
56;REGIONAL;08/03/21;2021;10;ARS Centro;All;17495;13462;0;30957;189561;83416;13;272990;0,116581826;0,051301637;NA;NA
57;REGIONAL;15/03/21;2021;11;ARS Centro;All;16503;24089;2;40594;206064;107505;15;313584;0,126731329;0,066116602;NA;NA
58;REGIONAL;22/03/21;2021;12;ARS Centro;All;47557;4250;0;51807;253621;111755;15;365391;0,155979338;0,068730393;NA;NA
59;REGIONAL;29/03/21;2021;13;ARS Centro;All;24200;16636;2;40838;277821;128391;17;406229;0,170862569;0,078961692;NA;NA
