;TYPE;DATE;YEAR;WEEK;REGION;AGEGROUP;TOTAL_VAC_1;TOTAL_VAC_2;TOTAL_VAC_UNK;TOTAL;CUMUL_VAC_1;CUMUL_VAC_2;CUMUL_VAC_UNK;CUMUL;CUMUL_VAC_INIT;CUMUL_VAC_COMPLETE;CUMUL_VAC_LEAST;COVER_1_VAC;COVER;COVER_INIT;COVER_COMPLETE;COVER_LEAST
1;REGIONAL;04/01/21;2021;1;Outro;All;23;0;0;23;24;0;0;24;24;0;24;NA;NA;NA;NA;NA
2;REGIONAL;11/01/21;2021;2;Outro;All;6;0;0;6;30;0;0;30;30;0;30;NA;NA;NA;NA;NA
3;REGIONAL;18/01/21;2021;3;Outro;All;23;1;0;24;53;1;0;54;52;1;53;NA;NA;NA;NA;NA
4;REGIONAL;25/01/21;2021;4;Outro;All;6;20;0;26;59;21;0;80;38;21;59;NA;NA;NA;NA;NA
5;REGIONAL;01/02/21;2021;5;Outro;All;8;5;0;13;67;26;0;93;41;26;67;NA;NA;NA;NA;NA
6;REGIONAL;08/02/21;2021;6;Outro;All;83;22;0;105;150;48;0;198;102;48;150;NA;NA;NA;NA;NA
7;REGIONAL;15/02/21;2021;7;Outro;All;63;7;0;70;213;55;0;268;158;55;213;NA;NA;NA;NA;NA
8;REGIONAL;22/02/21;2021;8;Outro;All;98;7;0;105;311;62;0;373;249;62;311;NA;NA;NA;NA;NA
9;REGIONAL;01/03/21;2021;9;Outro;All;72;83;0;155;383;145;0;528;238;145;383;NA;NA;NA;NA;NA
10;REGIONAL;08/03/21;2021;10;Outro;All;50;60;0;110;433;205;0;638;228;205;433;NA;NA;NA;NA;NA
11;REGIONAL;15/03/21;2021;11;Outro;All;60;96;0;156;493;301;0;794;192;301;493;NA;NA;NA;NA;NA
12;REGIONAL;22/03/21;2021;12;Outro;All;58;21;0;79;551;322;0;873;229;322;551;NA;NA;NA;NA;NA
13;REGIONAL;29/03/21;2021;13;Outro;All;43;51;0;94;594;373;0;967;222;373;595;NA;NA;NA;NA;NA
14;REGIONAL;05/04/21;2021;14;Outro;All;99;49;0;148;693;422;0;1115;272;422;694;NA;NA;NA;NA;NA
15;REGIONAL;12/04/21;2021;15;Outro;All;184;51;1;236;877;473;1;1351;405;473;878;NA;NA;NA;NA;NA
16;REGIONAL;19/04/21;2021;16;Outro;All;114;51;0;165;991;524;1;1516;468;524;992;NA;NA;NA;NA;NA
17;REGIONAL;26/04/21;2021;17;Outro;All;73;43;0;116;1064;567;1;1632;498;567;1065;NA;NA;NA;NA;NA
18;REGIONAL;03/05/21;2021;18;Outro;All;31;87;0;118;1095;654;1;1750;442;654;1096;NA;NA;NA;NA;NA
19;REGIONAL;10/05/21;2021;19;Outro;All;55;135;1;191;1150;789;2;1941;364;789;1153;NA;NA;NA;NA;NA
20;REGIONAL;17/05/21;2021;20;Outro;All;20;82;0;102;1170;871;2;2043;302;871;1173;NA;NA;NA;NA;NA
21;REGIONAL;24/05/21;2021;21;Outro;All;27;70;0;97;1197;941;2;2140;259;941;1200;NA;NA;NA;NA;NA
22;REGIONAL;31/05/21;2021;22;Outro;All;35;43;0;78;1232;984;2;2218;252;984;1236;NA;NA;NA;NA;NA
23;REGIONAL;07/06/21;2021;23;Outro;All;36;67;0;103;1268;1051;2;2321;231;1051;1282;NA;NA;NA;NA;NA
24;REGIONAL;14/06/21;2021;24;Outro;All;28;49;0;77;1296;1100;2;2398;228;1100;1328;NA;NA;NA;NA;NA
25;REGIONAL;21/06/21;2021;25;Outro;All;61;42;2;105;1357;1142;4;2503;252;1142;1394;NA;NA;NA;NA;NA
26;REGIONAL;28/06/21;2021;26;Outro;All;34;56;0;90;1391;1198;4;2593;239;1198;1437;NA;NA;NA;NA;NA
27;REGIONAL;05/07/21;2021;27;Outro;All;51;108;0;159;1442;1306;4;2752;196;1306;1502;NA;NA;NA;NA;NA
28;REGIONAL;12/07/21;2021;28;Outro;All;30;59;1;90;1472;1365;5;2842;179;1365;1544;NA;NA;NA;NA;NA
29;REGIONAL;19/07/21;2021;29;Outro;All;34;84;0;118;1506;1449;5;2960;160;1449;1609;NA;NA;NA;NA;NA
30;REGIONAL;04/01/21;2021;1;ARS Alentejo;All;3467;1;0;3468;4691;1;0;4692;4690;1;4691;0,010141212;2,16E-06;0,01013905;2,16E-06;0,010141212
31;REGIONAL;11/01/21;2021;2;ARS Alentejo;All;5354;10;0;5364;10045;11;0;10056;10034;11;10045;0,021715726;2,38E-05;0,021691946;2,38E-05;0,021715726
32;REGIONAL;18/01/21;2021;3;ARS Alentejo;All;10444;1134;0;11578;20489;1145;0;21634;19344;1145;20489;0,044294028;0,002475312;0,041818716;0,002475312;0,044294028
33;REGIONAL;25/01/21;2021;4;ARS Alentejo;All;2291;3122;0;5413;22780;4267;0;27047;18513;4267;22780;0,049246813;0,00922459;0,040022224;0,00922459;0,049246813
34;REGIONAL;01/02/21;2021;5;ARS Alentejo;All;1446;4345;0;5791;24226;8612;0;32838;15614;8612;24226;0,05237284;0,018617803;0,033755037;0,018617803;0,05237284
35;REGIONAL;08/02/21;2021;6;ARS Alentejo;All;3332;8791;0;12123;27558;17403;0;44961;10155;17403;27558;0,059576106;0,037622577;0,021953529;0,037622577;0,059576106
36;REGIONAL;15/02/21;2021;7;ARS Alentejo;All;4057;2812;0;6869;31615;20215;0;51830;11400;20215;31615;0,068346708;0,043701683;0,024645025;0,043701683;0,068346708
37;REGIONAL;22/02/21;2021;8;ARS Alentejo;All;12038;1649;0;13687;43653;21864;0;65517;21789;21864;43653;0,09437099;0,047266564;0,047104426;0,047266564;0,09437099
38;REGIONAL;01/03/21;2021;9;ARS Alentejo;All;10449;2829;1;13279;54102;24693;1;78796;29409;24693;54102;0,116960101;0,053382422;0,063577679;0,053382422;0,116960101
39;REGIONAL;08/03/21;2021;10;ARS Alentejo;All;5828;1671;0;7499;59930;26364;1;86295;33566;26364;59930;0,12955933;0,056994863;0,072564466;0,056994863;0,12955933
40;REGIONAL;15/03/21;2021;11;ARS Alentejo;All;3698;7728;0;11426;63628;34092;1;97721;29537;34092;63629;0,13755383;0,073701596;0,063854395;0,073701596;0,137555992
41;REGIONAL;22/03/21;2021;12;ARS Alentejo;All;11894;2102;0;13996;75522;36194;1;111717;39329;36194;75523;0,163266806;0,078245793;0,085023175;0,078245793;0,163268968
42;REGIONAL;29/03/21;2021;13;ARS Alentejo;All;6156;6274;0;12430;81678;42468;1;124147;39211;42468;81679;0,17657512;0,091809204;0,084768077;0,091809204;0,176577282
43;REGIONAL;05/04/21;2021;14;ARS Alentejo;All;14049;4303;0;18352;95727;46771;1;142499;48959;46771;95730;0,206946871;0,10111162;0,105841736;0,10111162;0,206953356
44;REGIONAL;12/04/21;2021;15;ARS Alentejo;All;21901;2958;0;24859;117628;49729;1;167358;67902;49729;117631;0,254293423;0,107506356;0,146793553;0,107506356;0,254299908
45;REGIONAL;19/04/21;2021;16;ARS Alentejo;All;11356;5952;2;17310;128984;55681;3;184668;73306;55681;128987;0,278843327;0,120373653;0,158476159;0,120373653;0,278849812
46;REGIONAL;26/04/21;2021;17;ARS Alentejo;All;20218;2774;0;22992;149202;58455;3;207660;90755;58455;149210;0,322551495;0,126370609;0,196198181;0,126370609;0,32256879
47;REGIONAL;03/05/21;2021;18;ARS Alentejo;All;13677;14303;1;27981;162879;72758;4;235641;93238;72758;165996;0,35211904;0,157291468;0,20156604;0,157291468;0,358857509
48;REGIONAL;10/05/21;2021;19;ARS Alentejo;All;17427;15239;0;32666;180306;87997;4;268307;95932;87997;183929;0,389793501;0,190235814;0,207390049;0,190235814;0,397625863
49;REGIONAL;17/05/21;2021;20;ARS Alentejo;All;13209;12199;1;25409;193515;100196;5;293716;100360;100196;200556;0,418349302;0,216608153;0,216962695;0,216608153;0,433570848
50;REGIONAL;24/05/21;2021;21;ARS Alentejo;All;7171;18505;5;25681;200686;118701;10;319397;91157;118701;209858;0,433851888;0,256613082;0,197067242;0,256613082;0,453680324
51;REGIONAL;31/05/21;2021;22;ARS Alentejo;All;17386;7275;1;24662;218072;125976;11;344059;101607;125976;227583;0,471437713;0,272340499;0,219658515;0,272340499;0,491999014
52;REGIONAL;07/06/21;2021;23;ARS Alentejo;All;13787;15246;0;29033;231859;141222;11;373092;100783;141222;242005;0,50124306;0,305299978;0,217877155;0,305299978;0,523177133
53;REGIONAL;14/06/21;2021;24;ARS Alentejo;All;10214;19194;1;29409;242073;160416;12;402501;93464;160416;253880;0,523324138;0,346794417;0,202054617;0,346794417;0,548849034
54;REGIONAL;21/06/21;2021;25;ARS Alentejo;All;10588;13694;1;24283;252661;174110;13;426784;92671;174110;266781;0,546213746;0,376398713;0,200340274;0,376398713;0,576738988
55;REGIONAL;28/06/21;2021;26;ARS Alentejo;All;10976;27074;0;38050;263637;201184;13;464834;77026;201184;278210;0,569942149;0,434928486;0,16651822;0,434928486;0,601446706
56;REGIONAL;05/07/21;2021;27;ARS Alentejo;All;15293;27734;2;43029;278930;228918;15;507863;65266;228918;294184;0,603003234;0,494885076;0,141094931;0,494885076;0,635980007
57;REGIONAL;12/07/21;2021;28;ARS Alentejo;All;8123;20430;1;28554;287053;249348;16;536417;56594;249348;305942;0,620563895;0,539051556;0,122347417;0,539051556;0,661398973
58;REGIONAL;19/07/21;2021;29;ARS Alentejo;All;3493;16671;2;20166;290546;266019;18;556583;47746;266019;313765;0,628115218;0,575091662;0,103219419;0,575091662;0,678311081
59;REGIONAL;04/01/21;2021;1;ARS Algarve;All;1248;1;0;1249;2305;1;0;2306;2304;1;2305;0,005262918;2,28E-06;0,005260634;2,28326E-06;0,005262918
60;REGIONAL;11/01/21;2021;2;ARS Algarve;All;1355;3;0;1358;3660;4;0;3664;3656;4;3660;0,008356737;9,13E-06;0,008347604;9,13305E-06;0,008356737
61;REGIONAL;18/01/21;2021;3;ARS Algarve;All;3396;947;0;4343;7056;951;0;8007;6105;951;7056;0,016110693;0,002171382;0,013939311;0,002171382;0,016110693
62;REGIONAL;25/01/21;2021;4;ARS Algarve;All;2150;1228;1;3379;9206;2179;1;11386;7027;2179;9206;0,021019705;0,004975227;0,016044478;0,004975227;0,021019705
63;REGIONAL;01/02/21;2021;5;ARS Algarve;All;1214;1246;0;2460;10420;3425;1;13846;6997;3425;10422;0,023791584;0,00782017;0,01597598;0,00782017;0,02379615
64;REGIONAL;08/02/21;2021;6;ARS Algarve;All;2394;2902;0;5296;12814;6327;1;19142;6489;6327;12816;0,029257712;0,014446195;0,014816083;0,014446195;0,029262278
65;REGIONAL;15/02/21;2021;7;ARS Algarve;All;3184;2120;0;5304;15998;8447;1;24446;7553;8447;16000;0,036527616;0,019286709;0,017245473;0,019286709;0,036532183
