;TYPE;DATE;YEAR;WEEK;REGION;AGEGROUP;TOTAL_VAC_1;TOTAL_VAC_2;TOTAL_VAC_UNK;TOTAL;CUMUL_VAC_1;CUMUL_VAC_2;CUMUL_VAC_UNK;CUMUL;CUMUL_VAC_INIT;CUMUL_VAC_COMPLETE;CUMUL_VAC_LEAST;COVER_1_VAC;COVER;COVER_INIT;COVER_COMPLETE;COVER_LEAST;RECEIVED;DISTRIBUTED
1;REGIONAL;01/04/2021;2021;1;ARS Alentejo;All;3467;0;0;3467;4691;0;0;4691;4691;0;4691;0,010141212;0;0,010141212;0;0,010141212;NA;NA
2;REGIONAL;01/11/2021;2021;2;ARS Alentejo;All;5347;10;0;5357;10038;10;0;10048;10028;10;10038;0,021700593;2,16E-05;0,021678975;2,16E-05;0,021700593;NA;NA
3;REGIONAL;18/01/21;2021;3;ARS Alentejo;All;10440;1135;0;11575;20478;1145;0;21623;19333;1145;20478;0,044270248;0,002475312;0,041794936;0,002475312;0,044270248;NA;NA
4;REGIONAL;25/01/21;2021;4;ARS Alentejo;All;2305;3105;0;5410;22783;4250;0;27033;18533;4250;22783;0,049253299;0,009187838;0,040065461;0,009187838;0,049253299;NA;NA
5;REGIONAL;02/01/2021;2021;5;ARS Alentejo;All;1445;4341;0;5786;24228;8591;0;32819;15637;8591;24228;0,052377164;0,018572404;0,03380476;0,018572404;0,052377164;NA;NA
6;REGIONAL;02/08/2021;2021;6;ARS Alentejo;All;3337;8780;1;12118;27565;17371;1;44937;10194;17371;27565;0,059591238;0,037553398;0,022037841;0,037553398;0,059591238;NA;NA
7;REGIONAL;15/02/21;2021;7;ARS Alentejo;All;4056;2807;0;6863;31621;20178;1;51800;11443;20178;31621;0,068359679;0,043621695;0,024737984;0,043621695;0,068359679;NA;NA
8;REGIONAL;22/02/21;2021;8;ARS Alentejo;All;12036;1647;0;13683;43657;21825;1;65483;21832;21825;43657;0,094379637;0,047182252;0,047197385;0,047182252;0,094379637;NA;NA
9;REGIONAL;03/01/2021;2021;9;ARS Alentejo;All;10442;2829;1;13272;54099;24654;2;78755;29445;24654;54099;0,116953615;0,05329811;0,063655506;0,05329811;0,116953615;NA;NA
10;REGIONAL;03/08/2021;2021;10;ARS Alentejo;All;5813;1671;0;7484;59912;26325;2;86239;33587;26325;59912;0,129520416;0,056910552;0,072609865;0,056910552;0,129520416;NA;NA
11;REGIONAL;15/03/21;2021;11;ARS Alentejo;All;3694;7725;0;11419;63606;34050;2;97658;29557;34050;63607;0,137506269;0,073610799;0,063897632;0,073610799;0,137508431;NA;NA
12;REGIONAL;22/03/21;2021;12;ARS Alentejo;All;11885;2099;0;13984;75491;36149;2;111642;39343;36149;75492;0,163199789;0,07814851;0,085053441;0,07814851;0,163201951;NA;NA
13;REGIONAL;29/03/21;2021;13;ARS Alentejo;All;6150;6269;0;12419;81641;42418;2;124061;39224;42418;81642;0,176495132;0,091701112;0,084796181;0,091701112;0,176497293;NA;NA
14;REGIONAL;04/05/2021;2021;14;ARS Alentejo;All;14047;4294;0;18341;95688;46712;2;142402;48979;46712;95691;0,206862559;0,100984072;0,105884973;0,100984072;0,206869044;NA;NA
15;REGIONAL;04/12/2021;2021;15;ARS Alentejo;All;21893;2956;0;24849;117581;49668;2;167251;67916;49668;117584;0,254191816;0,107374483;0,146823818;0,107374483;0,254198302;NA;NA
16;REGIONAL;19/04/21;2021;16;ARS Alentejo;All;11335;5947;2;17284;128916;55615;4;184535;73304;55615;128919;0,278696321;0,120230971;0,158471835;0,120230971;0,278702807;NA;NA
17;REGIONAL;26/04/21;2021;17;ARS Alentejo;All;20184;2765;0;22949;149100;58380;4;207484;90726;58380;149106;0,322330987;0,126208471;0,196135487;0,126208471;0,322343958;NA;NA
18;REGIONAL;05/03/2021;2021;18;ARS Alentejo;All;13655;14293;1;27949;162755;72673;5;235433;93195;72673;165868;0,351850971;0,157107712;0,201473081;0,157107712;0,358580792;NA;NA
19;REGIONAL;05/10/2021;2021;19;ARS Alentejo;All;17419;15216;0;32635;180174;87889;5;268068;95904;87889;183793;0,389508137;0,190002335;0,207329517;0,190002335;0,397331852;NA;NA
20;REGIONAL;17/05/21;2021;20;ARS Alentejo;All;13199;12179;1;25379;193373;100068;6;293447;100337;100068;200405;0,41804232;0,216331437;0,216912973;0,216331437;0,433244409;NA;NA
21;REGIONAL;24/05/21;2021;21;ARS Alentejo;All;7165;18479;4;25648;200538;118547;10;319095;91152;118547;209699;0,433531935;0,256280158;0,197056433;0,256280158;0,453336591;NA;NA
22;REGIONAL;31/05/21;2021;22;ARS Alentejo;All;17378;7260;0;24638;217916;125807;10;343733;101608;125807;227415;0,471100465;0,271975147;0,219660677;0,271975147;0,491635824;NA;NA
23;REGIONAL;06/07/2021;2021;23;ARS Alentejo;All;13772;15227;0;28999;231688;141034;10;372732;100787;141034;241821;0,500873385;0,304893551;0,217885803;0,304893551;0,522779354;NA;NA
24;REGIONAL;14/06/21;2021;24;ARS Alentejo;All;10173;19162;1;29336;241861;160196;11;402068;93453;160196;253649;0,522865827;0,346318812;0,202030837;0,346318812;0,548349648;NA;NA
25;REGIONAL;21/06/21;2021;25;ARS Alentejo;All;10443;13339;2;23784;252304;173535;13;425852;92525;173535;266060;0,545441967;0,375155653;0,200024645;0,375155653;0,575180298;NA;NA
26;REGIONAL;28/06/21;2021;26;ARS Alentejo;All;10346;27048;1;37395;262650;200583;14;463247;76265;200583;276848;0,567808409;0,433629218;0,164873057;0,433629218;0,598502274;NA;NA
27;REGIONAL;07/05/2021;2021;27;ARS Alentejo;All;15235;27491;2;42728;277885;228074;16;505975;64669;228074;292743;0,600744107;0,49306048;0,13980431;0,49306048;0,63286479;NA;NA
28;REGIONAL;01/04/2021;2021;1;ARS Algarve;All;1244;0;0;1244;2299;0;0;2299;2299;0;2299;0,005249218;0;0,005249218;0;0,005249218;NA;NA
