"";"TYPE";"DATE";"YEAR";"WEEK";"REGION";"AGEGROUP";"TOTAL_VAC_1";"TOTAL_VAC_2";"TOTAL_VAC_UNK";"TOTAL";"CUMUL_VAC_1";"CUMUL_VAC_2";"CUMUL_VAC_UNK";"CUMUL";"CUMUL_VAC_INIT";"CUMUL_VAC_COMPLETE";"CUMUL_VAC_LEAST";"COVER_1_VAC";"COVER_INIT";"COVER_COMPLETE";"COVER_LEAST"
"1";"REGIONAL";2021-01-04;2021;1;"ARS Alentejo";"All";3489;2;0;3491;4718;3;0;4721;4715;3;4718;0,0100639502391201;0,0100575509490147;6,39929010541764e-06;0,0100639502391201
"2";"REGIONAL";2021-01-11;2021;2;"ARS Alentejo";"All";5366;12;0;5378;10084;15;0;10099;10068;16;10084;0,0215101471410105;0,0214760175937816;3,41295472288941e-05;0,0215101471410105
"3";"REGIONAL";2021-01-18;2021;3;"ARS Alentejo";"All";10439;1133;0;11572;20523;1148;0;21671;19370;1153;20523;0,0437775436111621;0,0413180831139799;0,00245946049718218;0,0437775436111621
"4";"REGIONAL";2021-01-25;2021;4;"ARS Alentejo";"All";2357;3123;0;5480;22880;4271;0;27151;18601;4279;22880;0,0488052525373185;0,0396777317502912;0,00912752078702736;0,0488052525373185
"5";"REGIONAL";2021-02-01;2021;5;"ARS Alentejo";"All";1458;4347;0;5805;24338;8618;0;32956;15711;8627;24338;0,0519153075285515;0,0335130822820722;0,0184022252464793;0,0519153075285515
"6";"REGIONAL";2021-02-08;2021;6;"ARS Alentejo";"All";3290;8788;0;12078;27628;17406;0;45034;10209;17419;27628;0,0589331956774928;0,0217767842287362;0,0371564114487566;0,0589331956774928
"7";"REGIONAL";2021-02-15;2021;7;"ARS Alentejo";"All";4065;2834;0;6899;31693;20240;0;51933;11440;20253;31693;0,0676042337703337;0,0244026262686593;0,0432016075016745;0,0676042337703337
"8";"REGIONAL";2021-02-22;2021;8;"ARS Alentejo";"All";12043;1634;0;13677;43736;21874;0;65610;21845;21891;43736;0,0932931173501819;0,0465974974509494;0,0466956198992325;0,0932931173501819
"9";"REGIONAL";2021-03-01;2021;9;"ARS Alentejo";"All";10473;2839;1;13313;54209;24713;1;78923;29473;24736;54209;0,115633039108195;0,0628687590923247;0,0527642800158702;0,115633039108195
"10";"REGIONAL";2021-03-08;2021;10;"ARS Alentejo";"All";5847;1677;0;7524;60056;26390;1;86447;33634;26422;60056;0,128105255523654;0,071744574468539;0,056360681055115;0,128105255523654
"11";"REGIONAL";2021-03-15;2021;11;"ARS Alentejo";"All";3723;7748;0;11471;63779;34138;1;97918;29609;34171;63780;0,136046774544477;0,0631588602437703;0,0728900473974087;0,136048907641179
"12";"REGIONAL";2021-03-22;2021;12;"ARS Alentejo";"All";11921;2121;0;14042;75700;36259;1;111960;39408;36294;75702;0,161475420326705;0,0840610748247661;0,0774186116953426;0,161479686520109
