;TYPE;DATE;YEAR;WEEK;REGION;AGEGROUP;TOTAL_VAC_1;TOTAL_VAC_2;TOTAL_VAC_UNK;TOTAL;CUMUL_VAC_1;CUMUL_VAC_2;CUMUL_VAC_UNK;CUMUL;CUMUL_VAC_INIT;CUMUL_VAC_COMPLETE;CUMUL_VAC_LEAST;COVER_1_VAC;COVER;COVER_INIT;COVER_COMPLETE;COVER_LEAST;RECEIVED;DISTRIBUTED
1;REGIONAL;04/01/21;2021;1;ARS Alentejo;All;3469;1;0;3470;4692;1;0;4693;4691;1;4692;0,010143374;2,16E-06;0,010141212;2,16E-06;0,010143374;NA;NA
2;REGIONAL;11/01/21;2021;2;ARS Alentejo;All;5351;10;0;5361;10043;11;0;10054;10032;11;10043;0,021711402;2,38E-05;0,021687622;2,38E-05;0,021711402;NA;NA
3;REGIONAL;18/01/21;2021;3;ARS Alentejo;All;10425;1133;0;11558;20468;1144;0;21612;19324;1144;20468;0,044248629;0,00247315;0,041775479;0,00247315;0,044248629;NA;NA
4;REGIONAL;25/01/21;2021;4;ARS Alentejo;All;2291;3119;0;5410;22759;4263;0;27022;18496;4263;22759;0,049201415;0,009215942;0,039985472;0,009215942;0,049201415;NA;NA
5;REGIONAL;01/02/21;2021;5;ARS Alentejo;All;1447;4338;0;5785;24206;8601;0;32807;15605;8601;24206;0,052329603;0,018594023;0,03373558;0,018594023;0,052329603;NA;NA
6;REGIONAL;08/02/21;2021;6;ARS Alentejo;All;3334;8778;0;12112;27540;17379;0;44919;10161;17379;27540;0,059537192;0,037570692;0,0219665;0,037570692;0,059537192;NA;NA
7;REGIONAL;15/02/21;2021;7;ARS Alentejo;All;4056;2812;0;6868;31596;20191;0;51787;11405;20191;31596;0,068305633;0,043649799;0,024655834;0,043649799;0,068305633;NA;NA
8;REGIONAL;22/02/21;2021;8;ARS Alentejo;All;12033;1651;0;13684;43629;21842;0;65471;21787;21842;43629;0,094319106;0,047219003;0,047100102;0,047219003;0,094319106;NA;NA
9;REGIONAL;01/03/21;2021;9;ARS Alentejo;All;10453;2830;1;13284;54082;24672;1;78755;29410;24672;54082;0,116916864;0,053337023;0,063579841;0,053337023;0,116916864;NA;NA
10;REGIONAL;08/03/21;2021;10;ARS Alentejo;All;5824;1669;0;7493;59906;26341;1;86248;33565;26341;59906;0,129507445;0,056945141;0,072562304;0,056945141;0,129507445;NA;NA
11;REGIONAL;15/03/21;2021;11;ARS Alentejo;All;3696;7728;0;11424;63602;34069;1;97672;29534;34069;63603;0,137497622;0,073651874;0,06384791;0,073651874;0,137499784;NA;NA
12;REGIONAL;22/03/21;2021;12;ARS Alentejo;All;11900;2104;0;14004;75502;36173;1;111676;39331;36173;75504;0,163223569;0,078200394;0,085027499;0,078200394;0,163227893;NA;NA
13;REGIONAL;29/03/21;2021;13;ARS Alentejo;All;6154;6276;0;12430;81656;42449;1;124106;39209;42449;81658;0,176527559;0,091768129;0,084763754;0,091768129;0,176531883;NA;NA
14;REGIONAL;05/04/21;2021;14;ARS Alentejo;All;14049;4300;0;18349;95705;46749;1;142455;48960;46749;95709;0,20689931;0,10106406;0,105843898;0,10106406;0,206907957;NA;NA
15;REGIONAL;12/04/21;2021;15;ARS Alentejo;All;21903;2961;0;24864;117608;49710;1;167319;67902;49710;117612;0,254250186;0,107465281;0,146793553;0,107465281;0,254258833;NA;NA
16;REGIONAL;19/04/21;2021;16;ARS Alentejo;All;11363;5956;1;17320;128971;55666;2;184639;73309;55666;128975;0,278815223;0,120341226;0,158482645;0,120341226;0,27882387;NA;NA
17;REGIONAL;26/04/21;2021;17;ARS Alentejo;All;20208;2773;0;22981;149179;58439;2;207620;90749;58439;149188;0,322501773;0,12633602;0,19618521;0,12633602;0,322521229;NA;NA
18;REGIONAL;03/05/21;2021;18;ARS Alentejo;All;13664;14308;1;27973;162843;72747;3;235593;93216;72747;165963;0,352041213;0,157267688;0,201518479;0,157267688;0,358786168;NA;NA
19;REGIONAL;10/05/21;2021;19;ARS Alentejo;All;17422;15245;0;32667;180265;87992;3;268260;95899;87992;183891;0,389704865;0,190225005;0,207318708;0,190225005;0,397543712;NA;NA
20;REGIONAL;17/05/21;2021;20;ARS Alentejo;All;13207;12202;1;25410;193472;100194;4;293670;100317;100194;200511;0,418256343;0,216603829;0,216869736;0,216603829;0,433473565;NA;NA
21;REGIONAL;24/05/21;2021;21;ARS Alentejo;All;7178;18498;5;25681;200650;118692;9;319351;91122;118692;209814;0,433774061;0,256593625;0,196991577;0,256593625;0,453585203;NA;NA
22;REGIONAL;31/05/21;2021;22;ARS Alentejo;All;17383;7284;1;24668;218033;125976;10;344019;101562;125976;227538;0,471353401;0,272340499;0,219561232;0,272340499;0,491901731;NA;NA
23;REGIONAL;07/06/21;2021;23;ARS Alentejo;All;13782;15239;0;29021;231815;141215;10;373040;100736;141215;241951;0,501147939;0,305284845;0,217775549;0,305284845;0,523060393;NA;NA
24;REGIONAL;14/06/21;2021;24;ARS Alentejo;All;10200;19209;1;29410;242015;160424;11;402450;93398;160424;253822;0,523198751;0,346811712;0,201911935;0,346811712;0,548723647;NA;NA
25;REGIONAL;21/06/21;2021;25;ARS Alentejo;All;10534;14152;1;24687;252549;174576;12;427137;92540;174576;267116;0,545971619;0,377406133;0,200057073;0,377406133;0,577463205;NA;NA
26;REGIONAL;28/06/21;2021;26;ARS Alentejo;All;10951;28714;3;39668;263500;203290;15;466805;76867;203290;280157;0,569645976;0,43948133;0,166174487;0,43948133;0,605655817;NA;NA
27;REGIONAL;05/07/21;2021;27;ARS Alentejo;All;15320;27757;1;43078;278820;231047;16;509883;65120;231047;296167;0,602765431;0,499487643;0,140779302;0,499487643;0,640266945;NA;NA
28;REGIONAL;12/07/21;2021;28;ARS Alentejo;All;8122;20264;1;28387;286942;251311;17;538270;56449;251311;307760;0,620323931;0,543295256;0,12203395;0,543295256;0,665329206;NA;NA
29;REGIONAL;19/07/21;2021;29;ARS Alentejo;All;3490;16664;2;20156;290432;267975;19;558426;47599;267975;315574;0,627868767;0,57932023;0,102901627;0,57932023;0,682221857;NA;NA
30;REGIONAL;26/07/21;2021;30;ARS Alentejo;All;2227;16441;0;18668;292659;284416;19;577094;37982;284416;322398;0,632683195;0,614863112;0,082111171;0,614863112;0,696974283;NA;NA
31;REGIONAL;02/08/21;2021;31;ARS Alentejo;All;4927;19885;13;24825;297586;304301;32;601919;29081;304301;333382;0,643334602;0,657851386;0,062868594;0,657851386;0,720719981;NA;NA
32;REGIONAL;04/01/21;2021;1;ARS Algarve;All;1250;2;0;1252;2308;2;0;2310;2306;2;2308;0,005269767;4,57E-06;0,005265201;4,56652E-06;0,005269767;NA;NA
