"";"TYPE";"DATE";"YEAR";"WEEK";"REGION";"AGEGROUP";"TOTAL_VAC_1";"TOTAL_VAC_2";"TOTAL_VAC_UNK";"TOTAL";"CUMUL_VAC_1";"CUMUL_VAC_2";"CUMUL_VAC_UNK";"CUMUL";"CUMUL_VAC_INIT";"CUMUL_VAC_COMPLETE";"CUMUL_VAC_LEAST";"COVER_1_VAC";"COVER_INIT";"COVER_COMPLETE";"COVER_LEAST"
"1";"REGIONAL";2021-01-04;2021;1;"ARS Alentejo";"All";3489;2;0;3491;4718;3;0;4721;4715;3;4718;0,0100639502391201;0,0100575509490147;6,39929010541764e-06;0,0100639502391201
"2";"REGIONAL";2021-01-11;2021;2;"ARS Alentejo";"All";5367;12;0;5379;10085;15;0;10100;10069;16;10085;0,0215122802377123;0,0214781506904834;3,41295472288941e-05;0,0215122802377123
"3";"REGIONAL";2021-01-18;2021;3;"ARS Alentejo";"All";10440;1133;0;11573;20525;1148;0;21673;19372;1153;20525;0,0437818098045657;0,0413223493073835;0,00245946049718218;0,0437818098045657
"4";"REGIONAL";2021-01-25;2021;4;"ARS Alentejo";"All";2359;3123;0;5482;22884;4271;0;27155;18605;4279;22884;0,0488137849241257;0,0396862641370984;0,00912752078702736;0,0488137849241257
"5";"REGIONAL";2021-02-01;2021;5;"ARS Alentejo";"All";1458;4347;0;5805;24342;8618;0;32960;15715;8627;24342;0,0519238399153587;0,0335216146688794;0,0184022252464793;0,0519238399153587
"6";"REGIONAL";2021-02-08;2021;6;"ARS Alentejo";"All";3290;8788;0;12078;27632;17406;0;45038;10213;17419;27632;0,0589417280643001;0,0217853166155434;0,0371564114487566;0,0589417280643001
"7";"REGIONAL";2021-02-15;2021;7;"ARS Alentejo";"All";4066;2834;0;6900;31698;20240;0;51938;11445;20253;31698;0,0676148992538428;0,0244132917521683;0,0432016075016745;0,0676148992538428
"8";"REGIONAL";2021-02-22;2021;8;"ARS Alentejo";"All";12044;1635;0;13679;43742;21875;0;65617;21850;21892;43742;0,0933059159303928;0,0466081629344585;0,0466977529959343;0,0933059159303928
"9";"REGIONAL";2021-03-01;2021;9;"ARS Alentejo";"All";10475;2839;1;13315;54217;24714;1;78932;29480;24737;54217;0,115650103881809;0,0628836907692373;0,052766413112572;0,115650103881809
"10";"REGIONAL";2021-03-08;2021;10;"ARS Alentejo";"All";5847;1677;0;7524;60064;26391;1;86456;33641;26423;60064;0,128122320297268;0,0717595061454516;0,0563628141518168;0,128122320297268
