;TYPE;DATE;YEAR;WEEK;REGION;AGEGROUP;TOTAL_VAC_1;TOTAL_VAC_2;TOTAL_VAC_UNK;TOTAL;CUMUL_VAC_1;CUMUL_VAC_2;CUMUL_VAC_UNK;CUMUL;COVER_1_VAC;COVER;RECEIVED;DISTRIBUTED
1;REGIONAL;08/02/2021;2021;6;ARS Alentejo;All;3331;8773;1;12105;27523;17352;1;44876;0,058974908;0,037180998;NA;NA
2;REGIONAL;15/02/2021;2021;7;ARS Alentejo;All;4040;2804;1;6845;31563;20156;2;51721;0,067631618;0,043189269;NA;NA
3;REGIONAL;22/02/2021;2021;8;ARS Alentejo;All;12006;1646;0;13652;43569;21802;2;65373;0,093357475;0,046716236;NA;NA
4;REGIONAL;01/03/2021;2021;9;ARS Alentejo;All;10403;2824;0;13227;53972;24626;2;78600;0,115648503;0,052767362;NA;NA
5;REGIONAL;08/03/2021;2021;10;ARS Alentejo;All;5777;1662;0;7439;59749;26288;2;86039;0,12802717;0,056328612;NA;NA
6;REGIONAL;15/03/2021;2021;11;ARS Alentejo;All;3665;7712;0;11377;63414;34000;2;97416;0,135880349;0,0728535;NA;NA
7;REGIONAL;22/03/2021;2021;12;ARS Alentejo;All;11798;2089;0;13887;75212;36089;2;111303;0,161160513;0,077329705;NA;NA
8;REGIONAL;29/03/2021;2021;13;ARS Alentejo;All;6094;6230;0;12324;81306;42319;2;123627;0,174218432;0,090679037;NA;NA
9;REGIONAL;08/02/2021;2021;6;ARS Algarve;All;2361;2896;1;5258;12712;6303;1;19016;0,028995954;0,014377084;NA;NA
10;REGIONAL;15/02/2021;2021;7;ARS Algarve;All;3168;2110;0;5278;15880;8413;1;24294;0,036222132;0,019189975;NA;NA
11;REGIONAL;22/02/2021;2021;8;ARS Algarve;All;8432;1063;0;9495;24312;9476;1;33789;0,055455445;0,021614668;NA;NA
12;REGIONAL;01/03/2021;2021;9;ARS Algarve;All;4598;547;0;5145;28910;10023;1;38934;0,065943441;0,02286237;NA;NA
13;REGIONAL;08/03/2021;2021;10;ARS Algarve;All;5039;1530;0;6569;33949;11553;1;45503;0,077437353;0,026352285;NA;NA
14;REGIONAL;15/03/2021;2021;11;ARS Algarve;All;2631;2993;0;5624;36580;14546;1;51127;0,083438639;0,03317929;NA;NA
15;REGIONAL;22/03/2021;2021;12;ARS Algarve;All;9305;4277;0;13582;45885;18823;1;64709;0,104663257;0,042935088;NA;NA
16;REGIONAL;29/03/2021;2021;13;ARS Algarve;All;4134;2901;0;7035;50019;21724;1;71744;0,114092873;0,049552242;NA;NA
17;REGIONAL;08/02/2021;2021;6;ARS Centro;All;7456;27036;4;34496;79716;50901;8;130625;0,049026102;0,031304601;NA;NA
18;REGIONAL;15/02/2021;2021;7;ARS Centro;All;25312;9875;3;35190;105028;60776;11;165815;0,064593223;0,037377821;NA;NA
19;REGIONAL;22/02/2021;2021;8;ARS Centro;All;38075;3066;1;41142;143103;63842;12;206957;0,088009712;0,03926344;NA;NA
20;REGIONAL;01/03/2021;2021;9;ARS Centro;All;28286;5798;1;34085;171389;69640;13;241042;0,105405872;0,042829265;NA;NA
21;REGIONAL;08/03/2021;2021;10;ARS Centro;All;17392;13399;0;30791;188781;83039;13;271833;0,116102119;0,051069778;NA;NA
22;REGIONAL;15/03/2021;2021;11;ARS Centro;All;16409;24027;2;40438;205190;107066;15;312271;0,12619381;0,065846613;NA;NA
23;REGIONAL;22/03/2021;2021;12;ARS Centro;All;47348;4227;0;51575;252538;111293;15;363846;0,155313283;0,068446258;NA;NA
