cod_distrito,cod_concelho,nome_concelho,casos,dia
12,12,Nisa,,24-03-2020
42,2,Nordeste,,24-03-2020
2,11,Odemira,,24-03-2020
11,16,Odivelas,14,24-03-2020
11,10,Oeiras,16,24-03-2020
5,6,Oleiros,,24-03-2020
8,10,Olhão,,24-03-2020
1,13,Oliveira de Azeméis,11,24-03-2020
18,10,Oliveira de Frades,,24-03-2020
1,14,Oliveira do Bairro,,24-03-2020
6,11,Oliveira do Hospital,,24-03-2020
2,12,Ourique,,24-03-2020
14,21,Ourém,,24-03-2020
1,15,Ovar,55,24-03-2020
15,8,Palmela,,24-03-2020
6,12,Pampilhosa da Serra,,24-03-2020
13,10,Paredes,7,24-03-2020
16,5,Paredes de Coura,,24-03-2020
13,9,Paços de Ferreira,5,24-03-2020
10,13,Pedrógão Grande,,24-03-2020
6,13,Penacova,,24-03-2020
13,11,Penafiel,6,24-03-2020
18,11,Penalva do Castelo,,24-03-2020
5,7,Penamacor,,24-03-2020
18,12,Penedono,,24-03-2020
6,14,Penela,,24-03-2020
10,14,Peniche,,24-03-2020
17,8,Peso da Régua,,24-03-2020
9,10,Pinhel,,24-03-2020
10,15,Pombal,3,24-03-2020
42,3,Ponta Delgada,,24-03-2020
31,5,Ponta do Sol,,24-03-2020
16,6,Ponte da Barca,,24-03-2020
16,7,Ponte de Lima,,24-03-2020
12,13,Ponte de Sor,,24-03-2020
12,14,Portalegre,,24-03-2020
7,9,Portel,,24-03-2020
8,11,Portimão,8,24-03-2020
13,12,Porto,126,24-03-2020
31,6,Porto Moniz,,24-03-2020
32,1,Porto Santo,,24-03-2020
10,16,Porto de Mós,,24-03-2020
42,4,Povoação,,24-03-2020
43,2,Praia da Vitória,,24-03-2020
5,8,Proença-a-Nova,,24-03-2020
3,9,Póvoa de Lanhoso,,24-03-2020
13,13,Póvoa de Varzim,,24-03-2020
7,10,Redondo,,24-03-2020
7,11,Reguengos de Monsaraz,,24-03-2020
18,13,Resende,,24-03-2020
31,7,Ribeira Brava,,24-03-2020
42,5,Ribeira Grande,,24-03-2020
17,9,Ribeira de Pena,,24-03-2020
14,14,Rio Maior,,24-03-2020
17,10,Sabrosa,,24-03-2020
