concelho,casos,dia
Silves,5,26-03-2020
Cantanhede,4,26-03-2020
Cartaxo,4,26-03-2020
Condeixa-a-Nova,4,26-03-2020
Coruche,4,26-03-2020
Lagos,4,26-03-2020
Montemor-o- Velho,4,26-03-2020
Montijo,4,26-03-2020
Póvoa de Lanhoso,4,26-03-2020
Sesimbra,4,26-03-2020
Alcochete,3,26-03-2020
Almeirim,3,26-03-2020
Alvaiázere,3,26-03-2020
Caminha,3,26-03-2020
Chaves,3,26-03-2020
Ilha do Faial,3,26-03-2020
Ilha do Pico,3,26-03-2020
Macedo de Cavaleiros,3,26-03-2020
Nelas,3,26-03-2020
Ourém,3,26-03-2020
Resende,3,26-03-2020
São João da Madeira,3,26-03-2020
Vagos,3,26-03-2020
Vale de Cambra,3,26-03-2020
Vila Real de Santo António,3,26-03-2020
Porto,317,27-03-2020
Lisboa,284,27-03-2020
Vila Nova de Gaia,262,27-03-2020
Maia,171,27-03-2020
Gondomar,149,27-03-2020
Ovar,145,27-03-2020
Braga,131,27-03-2020
Coimbra,109,27-03-2020
Valongo,108,27-03-2020
Matosinhos,107,27-03-2020
Aveiro,55,27-03-2020
Santa Maria da Feira,54,27-03-2020
Guimarães,51,27-03-2020
Vila Nova de Famalicão,48,27-03-2020
Cascais,44,27-03-2020
Lousada,38,27-03-2020
Almada,35,27-03-2020
Vila Real,34,27-03-2020
Amadora,31,27-03-2020
Oliveira de Azeméis,30,27-03-2020
Seixal,29,27-03-2020
Albergaria-a-Velha,28,27-03-2020
Loures,28,27-03-2020
Felgueiras,26,27-03-2020
Faro,26,27-03-2020
Albufeira,22,27-03-2020
Paços de Ferreira,22,27-03-2020
Viseu,21,27-03-2020
Barcelos,20,27-03-2020
Bragança,20,27-03-2020
Santo Tirso,20,27-03-2020
Ilha da Madeira,20,27-03-2020
Viana do Castelo,19,27-03-2020
Paredes,18,27-03-2020
Condeixa-a-Nova,5,27-03-2020
Odivelas,18,27-03-2020
Espinho,17,27-03-2020
Oeiras,17,27-03-2020
Portimão,17,27-03-2020
Póvoa de Varzim,15,27-03-2020
Vila do Conde,15,27-03-2020
Loulé,14,27-03-2020
Pombal,13,27-03-2020
Moita,5,27-03-2020
Ílhavo,12,27-03-2020
Silves,5,27-03-2020
Penafiel,11,27-03-2020
V. R. S. António,5,27-03-2020
Águeda,10,27-03-2020
Anadia,4,27-03-2020
Estarreja,9,27-03-2020
Cantanhede,4,27-03-2020
Resende,9,27-03-2020
Macedo de Cavaleiros,4,27-03-2020
São João da Madeira,9,27-03-2020
Santarém,9,27-03-2020
Setúbal,9,27-03-2020
Arcos de Valdevez,8,27-03-2020
Montemor-o-Velho,8,27-03-2020
Trofa,8,27-03-2020
Évora,8,27-03-2020
Mafra,8,27-03-2020
Sintra,8,27-03-2020
Amares,7,27-03-2020
Leiria,7,27-03-2020
Oliveira do Bairro,7,27-03-2020
Póvoa de Lanhoso,7,27-03-2020
Soure,7,27-03-2020
Ilha S. Jorge,7,27-03-2020
Marco de Canavezes,6,27-03-2020
Marinha Grande,6,27-03-2020
Mirandela,6,27-03-2020
Vizela,3,27-03-2020
Barreiro,6,27-03-2020
Alcochete,3,27-03-2020
Grândola,6,27-03-2020
Almeirim,3,27-03-2020
Ilha Terceira,6,27-03-2020
Ilha do Faial,3,27-03-2020
Vila Franca de Xira,6,27-03-2020
Ilha do Pico,3,27-03-2020
Ourém,3,27-03-2020
Esposende,5,27-03-2020
Fafe,5,27-03-2020
Ponte de Lima,5,27-03-2020
Vale de Cambra,5,27-03-2020
Vila Verde,5,27-03-2020
Ilha de S. Miguel,5,27-03-2020
Murtosa,4,27-03-2020
Penacova,4,27-03-2020
Vagos,4,27-03-2020
Cartaxo,4,27-03-2020
Coruche,4,27-03-2020
Lagoa,4,27-03-2020
Montijo,4,27-03-2020
Sesimbra,4,27-03-2020
Almeida,3,27-03-2020
Alvaiázere,3,27-03-2020
Amarante,3,27-03-2020
Caminha,3,27-03-2020
Chaves,3,27-03-2020
Figueira da Foz,3,27-03-2020
Nelas,3,27-03-2020
Torre de Moncorvo,3,27-03-2020
Lisboa,366,28-03-2020
Porto,343,28-03-2020
Vila Nova de Gaia*,262,28-03-2020
Maia,219,28-03-2020
Matosinhos,189,28-03-2020
Gondomar,153,28-03-2020
Braga,152,28-03-2020
Ovar*,145,28-03-2020
Valongo,139,28-03-2020
Sintra,116,28-03-2020
Coimbra,110,28-03-2020
Santa Maria da Feira,103,28-03-2020
Vila Real,98,28-03-2020
