concelho,casos,dia
Coimbra,201,03-04-2020
Santa Maria da Feira,187,03-04-2020
Cascais,174,03-04-2020
Aveiro,130,03-04-2020
Vila Real,124,03-04-2020
Loures,117,03-04-2020
Vila Nova de Famalicão,110,03-04-2020
Guimarães,105,03-04-2020
Oeiras,100,03-04-2020
Seixal,92,03-04-2020
Almada,91,03-04-2020
Odivelas,86,03-04-2020
Amadora,82,03-04-2020
Oliveira de Azeméis,75,03-04-2020
Barcelos,70,03-04-2020
Felgueiras,66,03-04-2020
Paços de Ferreira,64,03-04-2020
Lousada,60,03-04-2020
Santo Tirso,58,03-04-2020
Paredes,56,03-04-2020
Barreiro,53,03-04-2020
Bragança,53,03-04-2020
Albergaria-a-Velha,52,03-04-2020
Trofa,45,03-04-2020
Vila Verde,41,03-04-2020
Vila do Conde,40,03-04-2020
Penafiel,39,03-04-2020
Viana do Castelo,38,03-04-2020
Mafra,37,03-04-2020
Resende,37,03-04-2020
Ourém,10,03-04-2020
Pombal,36,03-04-2020
Faro,34,03-04-2020
Setúbal,34,03-04-2020
Fafe,9,03-04-2020
Vila Franca de Xira,34,03-04-2020
Marinha Grande,9,03-04-2020
Estarreja,33,03-04-2020
São João da Madeira,31,03-04-2020
Moita,29,03-04-2020
Santarém,29,03-04-2020
Porto Santo,4,03-04-2020
Condeixa-a-Nova,28,03-04-2020
Rio Maior,4,03-04-2020
Espinho,28,03-04-2020
Santa Cruz,4,03-04-2020
Póvoa de Varzim,27,03-04-2020
Loulé,26,03-04-2020
Ílhavo,25,03-04-2020
Vale de Cambra,25,03-04-2020
Marco de Canaveses,24,03-04-2020
Viseu,24,03-04-2020
Portimão,23,03-04-2020
Águeda,22,03-04-2020
Montijo,22,03-04-2020
Leiria,21,03-04-2020
Funchal,20,03-04-2020
Cantanhede,19,03-04-2020
Alvaiázere,17,03-04-2020
Gouveia,3,03-04-2020
Amares,17,03-04-2020
Silves,7,03-04-2020
Póvoa de Lanhoso,17,03-04-2020
Lagoa,3,03-04-2020
Torres Vedras,16,03-04-2020
Évora,15,03-04-2020
Arouca,14,03-04-2020
Montemor-o-Velho,14,03-04-2020
Benavente,13,03-04-2020
Amarante,12,03-04-2020
Serpa,3,03-04-2020
Arcos de Valdevez,12,03-04-2020
Sines,3,03-04-2020
Chaves,11,03-04-2020
Tavira,3,03-04-2020
Esposende,11,03-04-2020
Mirandela,11,03-04-2020
Palmela,11,03-04-2020
Vila Real de Santo António,11,03-04-2020
Vizela,11,03-04-2020
Oliveira do Bairro,10,03-04-2020
Vinhais,5,03-04-2020
Sesimbra,10,03-04-2020
Cartaxo,9,03-04-2020
Cinfães,4,03-04-2020
Góis,4,03-04-2020
Peso da Régua,9,03-04-2020
Alenquer,8,03-04-2020
Almeirim,8,03-04-2020
Lamego,8,03-04-2020
Macedo de Cavaleiros,8,03-04-2020
Nelas,8,03-04-2020
Soure,8,03-04-2020
Anadia,7,03-04-2020
Câmara de Lobos,7,03-04-2020
Coruche,7,03-04-2020
Figueira da Foz,7,03-04-2020
Lousã,7,03-04-2020
Mealhada,7,03-04-2020
Melgaço,7,03-04-2020
Murtosa,7,03-04-2020
Olhão,7,03-04-2020
Oliveira de Frades,7,03-04-2020
Penacova,7,03-04-2020
Grândola,3,03-04-2020
Vagos,7,03-04-2020
Vila da Praia da Vitória,7,03-04-2020
Horta,6,03-04-2020
Miranda do Corvo,6,03-04-2020
Santiago do Cacém,6,03-04-2020
Vieira do Minho,6,03-04-2020
Alcochete,5,03-04-2020
Baião,5,03-04-2020
Calheta,5,03-04-2020
Castro Daire,5,03-04-2020
Monção,5,03-04-2020
Peniche,5,03-04-2020
Ponta do Sol,5,03-04-2020
Velas,5,03-04-2020
Batalha,4,03-04-2020
Caminha,4,03-04-2020
Guarda,4,03-04-2020
Madalena,4,03-04-2020
São Pedro do Sul,4,03-04-2020
Tomar,4,03-04-2020
Vimioso,4,03-04-2020
Alcobaça,3,03-04-2020
Alpiarça,3,03-04-2020
Beja,3,03-04-2020
Carrazeda de Ansiães,3,03-04-2020
Carregal do Sal,3,03-04-2020
Castelo de Paiva,3,03-04-2020
Celorico de Basto,3,03-04-2020
Figueiró dos Vinhos,3,03-04-2020
Mortágua,3,03-04-2020
Paredes de Coura,3,03-04-2020
Salvaterra de Magos,3,03-04-2020
São Roque do Pico,3,03-04-2020
Torres Novas,3,03-04-2020
Valença,3,03-04-2020
Valpaços,3,03-04-2020
Vila Nova de Poiares,3,03-04-2020
Vila Pouca de Aguiar,3,03-04-2020
Lisboa,654,04-04-2020
Porto,643,04-04-2020
Vila Nova de Gaia,468,04-04-2020
Gondomar,447,04-04-2020
Maia,404,04-04-2020
Matosinhos,386,04-04-2020
Braga,333,04-04-2020
Valongo,320,04-04-2020
Sintra,254,04-04-2020
Ovar,222,04-04-2020
Coimbra,216,04-04-2020
Santa Maria da Feira,212,04-04-2020
Cascais,187,04-04-2020
Aveiro,140,04-04-2020
Vila Real,127,04-04-2020
Vila Nova de Famalicão,121,04-04-2020
Guimarães,120,04-04-2020
Oeiras,116,04-04-2020
Almada,111,04-04-2020
Seixal,96,04-04-2020
Odivelas,93,04-04-2020
Amadora,91,04-04-2020
Barcelos,83,04-04-2020
Oliveira de Azeméis,82,04-04-2020
Felgueiras,72,04-04-2020
Paços de Ferreira,69,04-04-2020
Paredes,66,04-04-2020
Lousada,64,04-04-2020
Santo Tirso,64,04-04-2020
Barreiro,54,04-04-2020
Albergaria-a-Velha,53,04-04-2020
Bragança,52,04-04-2020
Vila do Conde,47,04-04-2020
Ílhavo,45,04-04-2020
Trofa,43,04-04-2020
Penafiel,42,04-04-2020
Resende,42,04-04-2020
Vila Verde,41,04-04-2020
Albufeira,39,04-04-2020
Mafra,39,04-04-2020
Alcobaça,5,04-04-2020
Viana do Castelo,39,04-04-2020
Santarém,38,04-04-2020
Faro,36,04-04-2020
Cartaxo,10,04-04-2020
Setúbal,36,04-04-2020
Pombal,35,04-04-2020
Vila Franca de Xira,35,04-04-2020
Estarreja,34,04-04-2020
São João da Madeira,32,04-04-2020
Cabeceiras de Basto,4,04-04-2020
Vale de Cambra,31,04-04-2020
Calheta,4,04-04-2020
Moita,30,04-04-2020
Celorico de Basto,4,04-04-2020
Póvoa de Varzim,30,04-04-2020
Condeixa-a-Nova,29,04-04-2020
Viseu,29,04-04-2020
Espinho,28,04-04-2020
Loulé,26,04-04-2020
Marco de Canaveses,26,04-04-2020
Águeda,24,04-04-2020
Alvaiázere,22,04-04-2020
Benavente,22,04-04-2020
Cantanhede,22,04-04-2020
Leiria,22,04-04-2020
Montijo,22,04-04-2020
Portimão,22,04-04-2020
Alpiarça,3,04-04-2020
Póvoa de Lanhoso,21,04-04-2020
Ansião,3,04-04-2020
Funchal,20,04-04-2020
Beja,3,04-04-2020
Arcos de Valdevez,19,04-04-2020
Torres Vedras,19,04-04-2020
Amares,17,04-04-2020
Amarante,15,04-04-2020
Arouca,15,04-04-2020
Évora,15,04-04-2020
Grândola,3,04-04-2020
Vila Real de Santo António,15,04-04-2020
Paredes de Coura,3,04-04-2020
Esposende,14,04-04-2020
São Roque do Pico,3,04-04-2020
Montemor-o-Velho,14,04-04-2020
Ourém,14,04-04-2020
Chaves,13,04-04-2020
Mirandela,12,04-04-2020
São Pedro do Sul,6,04-04-2020
Sesimbra,12,04-04-2020
Tavira,6,04-04-2020
Oliveira do Bairro,11,04-04-2020
Palmela,11,04-04-2020
Anadia,10,04-04-2020
Ponte de Lima,5,04-04-2020
Fafe,10,04-04-2020
Silves,10,04-04-2020
Alenquer,9,04-04-2020
Coruche,9,04-04-2020
Figueira da Foz,9,04-04-2020
Marinha Grande,9,04-04-2020
Nelas,9,04-04-2020
Peso da Régua,9,04-04-2020
Rio Maior,9,04-04-2020
Almeirim,8,04-04-2020
Lamego,8,04-04-2020
Macedo de Cavaleiros,8,04-04-2020
Soure,8,04-04-2020
Vieira do Minho,8,04-04-2020
Alcochete,7,04-04-2020
Câmara de Lobos,7,04-04-2020
Lousã,7,04-04-2020
Mealhada,7,04-04-2020
Melgaço,7,04-04-2020
Olhão,7,04-04-2020
Oliveira de Frades,7,04-04-2020
Penacova,7,04-04-2020
Reguengos de Monsaraz,7,04-04-2020
Vagos,7,04-04-2020
Vila da Praia da Vitória,7,04-04-2020
Caminha,6,04-04-2020
Castro Daire,6,04-04-2020
Horta,6,04-04-2020
Miranda do Corvo,6,04-04-2020
Monção,6,04-04-2020
Murtosa,6,04-04-2020
Ponta do Sol,6,04-04-2020
Valpaços,3,04-04-2020
Santiago do Cacém,6,04-04-2020
Vila Nova de Poiares,3,04-04-2020
Vila Pouca de Aguiar,3,04-04-2020
Baião,5,04-04-2020
Peniche,5,04-04-2020
Velas,5,04-04-2020
Vinhais,5,04-04-2020
Batalha,4,04-04-2020
Góis,4,04-04-2020
Guarda,4,04-04-2020
Madalena,4,04-04-2020
Porto Santo,4,04-04-2020
Salvaterra de Magos,4,04-04-2020
Sever do Vouga,4,04-04-2020
Sines,4,04-04-2020
Tomar,4,04-04-2020
Torres Novas,4,04-04-2020
Vimioso,4,04-04-2020
Bombarral,3,04-04-2020
Carrazeda de Ansiães,3,04-04-2020
Cinfães,3,04-04-2020
Serpa,3,04-04-2020
Valença,3,04-04-2020
Lisboa,681,05-04-2020
Porto,660,05-04-2020
Vila Nova de Gaia,499,05-04-2020
Gondomar,478,05-04-2020
Maia,422,05-04-2020
Matosinhos,395,05-04-2020
Braga,349,05-04-2020
Valongo,344,05-04-2020
Sintra,269,05-04-2020
Ovar,238,05-04-2020
Coimbra,216,05-04-2020
Santa Maria da Feira,216,05-04-2020
Cascais,190,05-04-2020
Vila Nova de Famalicão,143,05-04-2020
Aveiro,141,05-04-2020
Loures,131,05-04-2020
Vila Real,129,05-04-2020
Guimarães,127,05-04-2020
Almada,121,05-04-2020
Oeiras,120,05-04-2020
Seixal,101,05-04-2020
Amadora,99,05-04-2020
Odivelas,95,05-04-2020
Felgueiras,91,05-04-2020
Paredes,91,05-04-2020
Oliveira de Azeméis,84,05-04-2020
Paços de Ferreira,84,05-04-2020
Lousada,81,05-04-2020
Santo Tirso,73,05-04-2020
Bragança,64,05-04-2020
Albergaria-a-Velha,54,05-04-2020
Barreiro,54,05-04-2020
Ílhavo,54,05-04-2020
Penafiel,49,05-04-2020
Viana do Castelo,49,05-04-2020
Trofa,48,05-04-2020
Vila do Conde,47,05-04-2020
Resende,45,05-04-2020
Vila Verde,43,05-04-2020
Mafra,42,05-04-2020
Fafe,12,05-04-2020
Albufeira,40,05-04-2020
Torre de Moncorvo,12,05-04-2020
Santarém,38,05-04-2020
Faro,37,05-04-2020
Setúbal,37,05-04-2020
Estarreja,36,05-04-2020
Vila Franca de Xira,36,05-04-2020
Pombal,35,05-04-2020
Silves,10,05-04-2020
Loulé,33,05-04-2020
Tomar,5,05-04-2020
Vale de Cambra,33,05-04-2020
Velas,5,05-04-2020
Viseu,33,05-04-2020
Batalha,4,05-04-2020
São João da Madeira,32,05-04-2020
Espinho,31,05-04-2020
Moita,31,05-04-2020
Póvoa de Varzim,30,05-04-2020
Condeixa-a-Nova,29,05-04-2020
Marco de Canaveses,27,05-04-2020
Madalena,4,05-04-2020
Águeda,24,05-04-2020
Salvaterra de Magos,4,05-04-2020
Benavente,23,05-04-2020
Santa Cruz,4,05-04-2020
Montijo,23,05-04-2020
Portimão,23,05-04-2020
Alvaiázere,22,05-04-2020
Cantanhede,22,05-04-2020
Leiria,22,05-04-2020
Amarante,21,05-04-2020
Arcos de Valdevez,21,05-04-2020
Ansião,3,05-04-2020
Póvoa de Lanhoso,21,05-04-2020
Beja,3,05-04-2020
Torres Vedras,21,05-04-2020
Funchal,20,05-04-2020
Amares,18,05-04-2020
Chaves,16,05-04-2020
Arouca,15,05-04-2020
Évora,15,05-04-2020
Ourém,15,05-04-2020
Vila Real de Santo António,15,05-04-2020
Horta,6,05-04-2020
Vizela,15,05-04-2020
Miranda do Corvo,6,05-04-2020
Esposende,14,05-04-2020
Monção,6,05-04-2020
Mirandela,14,05-04-2020
Murtosa,6,05-04-2020
Montemor-o-Velho,14,05-04-2020
Ponta do Sol,6,05-04-2020
Sesimbra,13,05-04-2020
Vila Flor,3,05-04-2020
Cartaxo,12,05-04-2020
Santiago do Cacém,6,05-04-2020
São Pedro do Sul,6,05-04-2020
Anadia,11,05-04-2020
Oliveira do Bairro,11,05-04-2020
Palmela,11,05-04-2020
Tavira,11,05-04-2020
Macedo de Cavaleiros,10,05-04-2020
Marinha Grande,10,05-04-2020
Alenquer,9,05-04-2020
Coruche,9,05-04-2020
Figueira da Foz,9,05-04-2020
Lamego,9,05-04-2020
Nelas,9,05-04-2020
Peso da Régua,9,05-04-2020
Rio Maior,9,05-04-2020
Vieira do Minho,9,05-04-2020
Vinhais,9,05-04-2020
Almeirim,8,05-04-2020
Castro Daire,8,05-04-2020
Mealhada,8,05-04-2020
Reguengos de Monsaraz,8,05-04-2020
Soure,8,05-04-2020
Vagos,8,05-04-2020
Alcochete,7,05-04-2020
Baião,7,05-04-2020
Câmara de Lobos,7,05-04-2020
Caminha,7,05-04-2020
Lousã,7,05-04-2020
Melgaço,7,05-04-2020
Olhão,7,05-04-2020
Oliveira de Frades,7,05-04-2020
Penacova,7,05-04-2020
Vila da Praia da Vitória,7,05-04-2020
Celorico de Basto,6,05-04-2020
Paredes de Coura,3,05-04-2020
São Roque do Pico,3,05-04-2020
Terras de Bouro,3,05-04-2020
Valpaços,3,05-04-2020
Vila Nova de Poiares,3,05-04-2020
Vila Pouca de Aguiar,3,05-04-2020
Vimioso,6,05-04-2020
Alcobaça,5,05-04-2020
Cabeceiras de Basto,5,05-04-2020
Peniche,5,05-04-2020
Porto Santo,5,05-04-2020
Sever do Vouga,5,05-04-2020
Calheta (Açores),4,05-04-2020
Castelo de Paiva,4,05-04-2020
Góis,4,05-04-2020
Guarda,4,05-04-2020
Serpa,4,05-04-2020
Sines,4,05-04-2020
Torres Novas,4,05-04-2020
Valença,4,05-04-2020
Alpiarça,3,05-04-2020
Bombarral,3,05-04-2020
Carrazeda de Ansiães,3,05-04-2020
Cinfães,3,05-04-2020
Grândola,3,05-04-2020
Lagoa (Faro),3,05-04-2020
Lagos,3,05-04-2020
Moimenta da Beira,3,05-04-2020
Lisboa,699,06-04-2020
Porto,689,06-04-2020
Vila Nova de Gaia,518,06-04-2020
Gondomar,489,06-04-2020
Maia,444,06-04-2020
Matosinhos,400,06-04-2020
Valongo,364,06-04-2020
Braga,358,06-04-2020
Sintra,278,06-04-2020
Ovar,224,06-04-2020
Santa Maria da Feira,224,06-04-2020
Coimbra,222,06-04-2020
Cascais,197,06-04-2020
Vila Nova de Famalicão,145,06-04-2020
Aveiro,142,06-04-2020
Guimarães,131,06-04-2020
Loures,130,06-04-2020
Vila Real,129,06-04-2020
Almada,125,06-04-2020
Oeiras,125,06-04-2020
Amadora,107,06-04-2020
Seixal,102,06-04-2020
Paredes,96,06-04-2020
Odivelas,95,06-04-2020
Felgueiras,94,06-04-2020
Barcelos,93,06-04-2020
Paços de Ferreira,92,06-04-2020
Lousada,87,06-04-2020
Oliveira de Azeméis,86,06-04-2020
Santo Tirso,82,06-04-2020
Viana do Castelo,68,06-04-2020
Trofa,56,06-04-2020
Albergaria-a-Velha,54,06-04-2020
Barreiro,54,06-04-2020
Ílhavo,54,06-04-2020
Penafiel,53,06-04-2020
Vila do Conde,47,06-04-2020
Resende,45,06-04-2020
Albufeira,44,06-04-2020
Vila Verde,44,06-04-2020
Mafra,42,06-04-2020
Torre de Moncorvo,12,06-04-2020
Faro,39,06-04-2020
Anadia,11,06-04-2020
Loulé,39,06-04-2020
Santarém,38,06-04-2020
Espinho,37,06-04-2020
Setúbal,37,06-04-2020
Estarreja,36,06-04-2020
Vale de Cambra,36,06-04-2020
Sever do Vouga,5,06-04-2020
Vila Franca de Xira,36,06-04-2020
Figueira da Foz,9,06-04-2020
Pombal,35,06-04-2020
Velas,5,06-04-2020
São João da Madeira,35,06-04-2020
Viseu,33,06-04-2020
Moita,32,06-04-2020
Póvoa de Varzim,30,06-04-2020
Condeixa-a-Nova,29,06-04-2020
Góis,4,06-04-2020
Marco de Canaveses,28,06-04-2020
Madalena,4,06-04-2020
Águeda,25,06-04-2020
Salvaterra de Magos,4,06-04-2020
Montijo,24,06-04-2020
Portimão,24,06-04-2020
Tavira,24,06-04-2020
Benavente,23,06-04-2020
Alvaiázere,22,06-04-2020
Valença,4,06-04-2020
Cantanhede,22,06-04-2020
Ansião,3,06-04-2020
Leiria,22,06-04-2020
Beja,3,06-04-2020
Torres Vedras,22,06-04-2020
Amarante,21,06-04-2020
Arcos de Valdevez,21,06-04-2020
Funchal,21,06-04-2020
Póvoa de Lanhoso,21,06-04-2020
Amares,18,06-04-2020
Figueiró dos Vinhos,3,06-04-2020
Arouca,16,06-04-2020
Grândola,3,06-04-2020
Chaves,16,06-04-2020
Évora,15,06-04-2020
Ourém,15,06-04-2020
Vila Real de Santo António,15,06-04-2020
Alcobaça,6,06-04-2020
Vizela,15,06-04-2020
Celorico de Basto,6,06-04-2020
Cartaxo,14,06-04-2020
Horta,6,06-04-2020
Esposende,14,06-04-2020
Miranda do Corvo,6,06-04-2020
Mirandela,14,06-04-2020
Monção,6,06-04-2020
Montemor-o-Velho,14,06-04-2020
Murtosa,6,06-04-2020
Fafe,12,06-04-2020
Peniche,6,06-04-2020
Sesimbra,12,06-04-2020
Ponta do Sol,6,06-04-2020
São Pedro do Sul,6,06-04-2020
Oliveira do Bairro,11,06-04-2020
Palmela,11,06-04-2020
Silves,11,06-04-2020
Coruche,10,06-04-2020
Macedo de Cavaleiros,10,06-04-2020
Marinha Grande,10,06-04-2020
Tomar,5,06-04-2020
Lamego,9,06-04-2020
Nelas,9,06-04-2020
Olhão,9,06-04-2020
Peso da Régua,9,06-04-2020
Vieira do Minho,9,06-04-2020
Vinhais,9,06-04-2020
Alcochete,8,06-04-2020
Almeirim,8,06-04-2020
Castro Daire,8,06-04-2020
Mealhada,8,06-04-2020
Melgaço,8,06-04-2020
Reguengos de Monsaraz,8,06-04-2020
Rio Maior,8,06-04-2020
Soure,8,06-04-2020
Vagos,8,06-04-2020
Baião,7,06-04-2020
Câmara de Lobos,7,06-04-2020
Caminha,7,06-04-2020
Lousã,7,06-04-2020
Oliveira de Frades,7,06-04-2020
Penacova,7,06-04-2020
Ponte de Lima,7,06-04-2020
Santiago do Cacém,7,06-04-2020
Lagos,3,06-04-2020
Vila da Praia da Vitória,7,06-04-2020
Vimioso,7,06-04-2020
Oliveira do Hospital,3,06-04-2020
São Roque do Pico,3,06-04-2020
Sines,3,06-04-2020
Terras de Bouro,3,06-04-2020
Valpaços,3,06-04-2020
Vila Flor,3,06-04-2020
Vila Nova de Poiares,3,06-04-2020
Vila Pouca de Aguiar,3,06-04-2020
Cabeceiras de Basto,5,06-04-2020
Castelo de Paiva,5,06-04-2020
Guarda,5,06-04-2020
Paredes de Coura,5,06-04-2020
Porto Santo,5,06-04-2020
Batalha,4,06-04-2020
Calheta (Açores),4,06-04-2020
Santa Cruz,4,06-04-2020
Serpa,4,06-04-2020
Torres Novas,4,06-04-2020
Bombarral,3,06-04-2020
Cadaval,3,06-04-2020
Carrazeda de Ansiães,3,06-04-2020
Cinfães,3,06-04-2020
Lagoa (Faro),3,06-04-2020
Moimenta da Beira,3,06-04-2020
Lisboa,754,07-04-2020
Porto,730,07-04-2020
Vila Nova de Gaia,551,07-04-2020
Gondomar,528,07-04-2020
Maia,465,07-04-2020
Matosinhos,416,07-04-2020
Braga,407,07-04-2020
Valongo,387,07-04-2020
Sintra,299,07-04-2020
Ovar,247,07-04-2020
Coimbra,233,07-04-2020
Santa Maria da Feira,231,07-04-2020
Cascais,203,07-04-2020
Aveiro,151,07-04-2020
Vila Nova de Famalicão,150,07-04-2020
Guimarães,147,07-04-2020
Oeiras,142,07-04-2020
Loures,134,07-04-2020
Vila Real,132,07-04-2020
Almada,130,07-04-2020
Paços de Ferreira,112,07-04-2020
Paredes,110,07-04-2020
Seixal,109,07-04-2020
Amadora,108,07-04-2020
Felgueiras,108,07-04-2020
Barcelos,103,07-04-2020
Odivelas,99,07-04-2020
Santo Tirso,93,07-04-2020
Lousada,92,07-04-2020
Oliveira de Azeméis,92,07-04-2020
Ílhavo,86,07-04-2020
Viana do Castelo,75,07-04-2020
Bragança,71,07-04-2020
Trofa,57,07-04-2020
Barreiro,56,07-04-2020
Penafiel,56,07-04-2020
Albergaria-a-Velha,54,07-04-2020
Resende,52,07-04-2020
Vila do Conde,49,07-04-2020
Vila Verde,48,07-04-2020
Albufeira,46,07-04-2020
Mafra,45,07-04-2020
Horta,6,07-04-2020
Santarém,42,07-04-2020
Murtosa,6,07-04-2020
Vila Franca de Xira,42,07-04-2020
Loulé,41,07-04-2020
Setúbal,40,07-04-2020
Marinha Grande,11,07-04-2020
Faro,39,07-04-2020
Palmela,11,07-04-2020
Vale de Cambra,39,07-04-2020
Silves,11,07-04-2020
Espinho,37,07-04-2020
Cabeceiras de Basto,5,07-04-2020
Estarreja,37,07-04-2020
Coruche,10,07-04-2020
Condeixa-a-Nova,36,07-04-2020
Lamego,10,07-04-2020
Viseu,36,07-04-2020
Mealhada,10,07-04-2020
Moita,35,07-04-2020
Figueira da Foz,9,07-04-2020
São João da Madeira,35,07-04-2020
Melgaço,9,07-04-2020
Pombal,34,07-04-2020
Nelas,9,07-04-2020
Póvoa de Varzim,33,07-04-2020
Olhão,9,07-04-2020
Marco de Canaveses,30,07-04-2020
Ansião,4,07-04-2020
Amarante,27,07-04-2020
Batalha,4,07-04-2020
Águeda,26,07-04-2020
Vieira do Minho,9,07-04-2020
Arcos de Valdevez,26,07-04-2020
Vinhais,9,07-04-2020
Montijo,26,07-04-2020
Almeirim,8,07-04-2020
Torres Vedras,26,07-04-2020
Leiria,25,07-04-2020
Portimão,25,07-04-2020
Benavente,24,07-04-2020
Tavira,24,07-04-2020
Póvoa de Lanhoso,23,07-04-2020
Santa Cruz,4,07-04-2020
Alvaiázere,22,07-04-2020
Sines,4,07-04-2020
Cantanhede,22,07-04-2020
Funchal,21,07-04-2020
Amares,19,07-04-2020
Ourém,19,07-04-2020
Torre de Moncorvo,18,07-04-2020
Arouca,17,07-04-2020
Vizela,17,07-04-2020
Chaves,16,07-04-2020
Esposende,16,07-04-2020
Cartaxo,15,07-04-2020
Évora,15,07-04-2020
Vila Real de Santo António,15,07-04-2020
Mirandela,14,07-04-2020
Montemor-o-Velho,14,07-04-2020
Fafe,13,07-04-2020
Macedo de Cavaleiros,13,07-04-2020
Oliveira do Bairro,13,07-04-2020
Vila Pouca de Aguiar,3,07-04-2020
Sesimbra,13,07-04-2020
Anadia,12,07-04-2020
Ponte de Lima,12,07-04-2020
São Pedro do Sul,6,07-04-2020
Serpa,6,07-04-2020
Tomar,6,07-04-2020
Alenquer,10,07-04-2020
Castelo de Paiva,5,07-04-2020
Porto Santo,5,07-04-2020
Salvaterra de Magos,5,07-04-2020
Sever do Vouga,5,07-04-2020
Velas,5,07-04-2020
Vila Flor,5,07-04-2020
Peso da Régua,9,07-04-2020
Bombarral,4,07-04-2020
Calheta (Açores),4,07-04-2020
Carrazeda de Ansiães,4,07-04-2020
Caminha,8,07-04-2020
Castro Daire,8,07-04-2020
Góis,4,07-04-2020
Penacova,8,07-04-2020
Lourinhã,4,07-04-2020
Reguengos de Monsaraz,8,07-04-2020
Madalena,4,07-04-2020
Rio Maior,8,07-04-2020
Soure,8,07-04-2020
Alcobaça,7,07-04-2020
Alcochete,7,07-04-2020
Baião,7,07-04-2020
Câmara de Lobos,7,07-04-2020
Valpaços,4,07-04-2020
Celorico de Basto,7,07-04-2020
Beja,3,07-04-2020
Lousã,7,07-04-2020
Cadaval,3,07-04-2020
Miranda do Corvo,7,07-04-2020
Carregal do Sal,3,07-04-2020
Monção,7,07-04-2020
Oliveira de Frades,7,07-04-2020
Peniche,7,07-04-2020
Santiago do Cacém,7,07-04-2020
Torres Novas,7,07-04-2020
Vila da Praia da Vitória,7,07-04-2020
Lagos,3,07-04-2020
Vila Nova de Foz Côa,7,07-04-2020
Moimenta da Beira,3,07-04-2020
Vimioso,7,07-04-2020
São Roque do Pico,3,07-04-2020
Alpiarça,6,07-04-2020
Vila Nova de Poiares,3,07-04-2020
Paredes de Coura,6,07-04-2020
Ponta do Sol,6,07-04-2020
Cinfães,4,07-04-2020
Terras de Bouro,4,07-04-2020
Valença,4,07-04-2020
Figueiró dos Vinhos,3,07-04-2020
Grândola,3,07-04-2020
Guarda,3,07-04-2020
Lagoa (Faro),3,07-04-2020
Lisboa,773,08-04-2020
Porto,750,08-04-2020
Vila Nova de Gaia,576,08-04-2020
Gondomar,556,08-04-2020
Maia,485,08-04-2020
Matosinhos,425,08-04-2020
Braga,423,08-04-2020
Valongo,397,08-04-2020
Sintra,310,08-04-2020
Ovar,273,08-04-2020
Coimbra,237,08-04-2020
Santa Maria da Feira,233,08-04-2020
Cascais,218,08-04-2020
Vila Nova de Famalicão,154,08-04-2020
Aveiro,152,08-04-2020
Guimarães,149,08-04-2020
Oeiras,146,08-04-2020
Loures,138,08-04-2020
Almada,134,08-04-2020
Vila Real,132,08-04-2020
Amadora,113,08-04-2020
Paços de Ferreira,113,08-04-2020
Paredes,113,08-04-2020
Seixal,113,08-04-2020
Felgueiras,111,08-04-2020
Barcelos,107,08-04-2020
Odivelas,100,08-04-2020
Oliveira de Azeméis,94,08-04-2020
Santo Tirso,94,08-04-2020
Lousada,93,08-04-2020
Ílhavo,86,08-04-2020
Viana do Castelo,79,08-04-2020
Bragança,71,08-04-2020
Trofa,59,08-04-2020
Barreiro,57,08-04-2020
Penafiel,56,08-04-2020
Albergaria-a-Velha,54,08-04-2020
Resende,52,08-04-2020
Vila do Conde,50,08-04-2020
Vila Verde,49,08-04-2020
Mafra,46,08-04-2020
Albufeira,45,08-04-2020
Vila Franca de Xira,44,08-04-2020
Setúbal,43,08-04-2020
Santarém,42,08-04-2020
Loulé,41,08-04-2020
Vale de Cambra,40,08-04-2020
Estarreja,39,08-04-2020
Faro,39,08-04-2020
Moita,38,08-04-2020
Espinho,37,08-04-2020
Lourinhã,5,08-04-2020
Viseu,37,08-04-2020
Figueira da Foz,10,08-04-2020
Condeixa-a-Nova,36,08-04-2020
Lamego,10,08-04-2020
São João da Madeira,36,08-04-2020
Mealhada,10,08-04-2020
Pombal,34,08-04-2020
Nelas,10,08-04-2020
Póvoa de Varzim,34,08-04-2020
Silves,10,08-04-2020
Marco de Canaveses,30,08-04-2020
Monção,9,08-04-2020
Torres Vedras,28,08-04-2020
Olhão,9,08-04-2020
Amarante,27,08-04-2020
Peso da Régua,9,08-04-2020
Águeda,26,08-04-2020
Batalha,4,08-04-2020
Arcos de Valdevez,26,08-04-2020
Vinhais,9,08-04-2020
Montijo,26,08-04-2020
Almeirim,8,08-04-2020
Benavente,25,08-04-2020
Caminha,8,08-04-2020
Leiria,25,08-04-2020
Oliveira de Frades,8,08-04-2020
Portimão,25,08-04-2020
Penacova,8,08-04-2020
Cantanhede,24,08-04-2020
Reguengos de Monsaraz,8,08-04-2020
Tavira,24,08-04-2020
Rio Maior,8,08-04-2020
Póvoa de Lanhoso,23,08-04-2020
Santiago do Cacém,8,08-04-2020
Alvaiázere,22,08-04-2020
Soure,8,08-04-2020
Funchal,21,08-04-2020
Alcobaça,7,08-04-2020
Amares,19,08-04-2020
Alcochete,7,08-04-2020
Ourém,19,08-04-2020
Baião,7,08-04-2020
Castro Daire,18,08-04-2020
Torre de Moncorvo,18,08-04-2020
Arouca,17,08-04-2020
Évora,17,08-04-2020
Miranda do Corvo,7,08-04-2020
Vizela,17,08-04-2020
Cartaxo,16,08-04-2020
