Âmbito Geográfico,Anos,1981,2020
Município,Pedrógão Grande, 5 814, 3 415
Município,Pombal, 53 975, 51 664
Município,Porto de Mós, 21 791, 23 325
NUTS III,Viseu Dão Lafões, 285 202, 252 688
Município,Aguiar da Beira, 7 314, 4 634
Município,Carregal do Sal, 11 170, 9 313
Município,Castro Daire, 20 489, 13 816
Município,Mangualde, 21 533, 18 538
Município,Nelas, 15 110, 12 984
Município,Oliveira de Frades, 10 417, 9 985
Município,Penalva do Castelo, 10 201, 7 145
Município,Santa Comba Dão, 14 161, 10 445
Município,São Pedro do Sul, 21 331, 15 421
Município,Sátão, 13 654, 11 635
Município,Tondela, 35 986, 26 358
Município,Vila Nova de Paiva, 6 474, 4 688
Município,Viseu, 83 899, 98 103
Município,Vouzela, 13 463, 9 623
NUTS III,Beira Baixa, 108 165, 80 047
Município,Castelo Branco, 55 006, 52 003
Município,Idanha-a-Nova, 16 009, 7 926
Município,Oleiros, 10 159, 5 009
Município,Penamacor, 9 477, 4 724
Município,Proença-a-Nova, 11 950, 7 243
Município,Vila Velha de Ródão, 5 564, 3 142
NUTS III,Médio Tejo, 266 341, 233 362
Município,Abrantes, 48 727, 34 960
Município,Alcanena, 14 329, 12 870
Município,Constância, 3 945, 4 051
Município,Entroncamento, 12 010, 21 923
Município,Ferreira do Zêzere, 11 044, 7 953
Município,Mação, 12 188, 6 193
Município,Ourém, 41 540, 44 370
Município,Sardoal, 5 007, 3 717
Município,Sertã, 21 465, 14 564
Município,Tomar, 45 696, 36 775
Município,Torres Novas, 37 567, 35 099
Município,Vila de Rei, 4 641, 3 338
Município,Vila Nova da Barquinha, 8 182, 7 549
NUTS III,Beiras e Serra da Estrela, 287 334, 211 406
Município,Almeida, 10 490, 5 786
Município,Belmonte, 6 775, 6 383
Município,Celorico da Beira, 10 297, 6 934
Município,Covilhã, 61 193, 46 771
Município,Figueira de Castelo Rodrigo, 9 142, 5 587
Município,Fornos de Algodres, 6 598, 4 539
Município,Fundão, 32 089, 26 464
Município,Gouveia, 19 095, 12 360
Município,Guarda, 40 486, 39 000
Município,Manteigas, 4 487, 2 986
Município,Mêda, 8 967, 4 575
Município,Pinhel, 14 328, 8 431
Município,Sabugal, 18 847, 10 525
Município,Seia, 31 468, 22 167
Município,Trancoso, 13 072, 8 898
NUTS II,Área Metropolitana de Lisboa, 2 494 179, 2 869 033
NUTS III,Área Metropolitana de Lisboa, 2 494 179, 2 869 033
Município,Alcochete, 11 275, 19 933
Município,Almada, 148 533, 168 664
Município,Amadora, 165 119, 185 517
Município,Barreiro, 88 644, 74 730
Município,Cascais, 142 264, 213 941
Município,Lisboa, 808 786, 509 614
Município,Loures, 278 775, 214 969
Município,Mafra, 43 976, 85 295
Município,Moita, 53 613, 64 157
Município,Montijo, 36 946, 58 092
Município,Odivelas,//0, 163 003
Município,Oeiras, 150 332, 177 795
Município,Palmela, 37 016, 64 083
Município,Seixal, 89 982, 168 154
Município,Sesimbra, 23 266, 51 959
Município,Setúbal, 98 908, 114 278
Município,Sintra, 227 804, 392 887
Município,Vila Franca de Xira, 88 940, 141 962
NUTS II,Alentejo, 820 742, 699 420
NUTS III,Alentejo Litoral, 103 351, 93 122
Município,Alcácer do Sal, 16 394, 11 546
Município,Grândola, 16 081, 14 606
Município,Odemira, 29 441, 24 625
Município,Santiago do Cacém, 29 296, 28 638
Município,Sines, 12 139, 13 707
NUTS III,Baixo Alentejo, 159 214, 115 326
Município,Aljustrel, 12 878, 8 140
Município,Almodôvar, 10 619, 6 660
Município,Alvito, 2 959, 2 468
Município,Barrancos, 2 154, 1 623
Município,Beja, 38 439, 33 340
Município,Castro Verde, 7 462, 6 890
Município,Cuba, 5 764, 4 547
Município,Ferreira do Alentejo, 11 286, 7 807
Município,Mértola, 11 668, 6 049
Município,Moura, 19 828, 13 606
Município,Ourique, 7 972, 4 545
Município,Serpa, 20 798, 14 177
Município,Vidigueira, 7 387, 5 474
NUTS III,Lezíria do Tejo, 234 538, 236 852
Município,Almeirim, 21 271, 22 425
Município,Alpiarça, 8 129, 6 985
Município,Azambuja, 19 885, 22 831
Município,Benavente, 16 349, 30 729
Município,Cartaxo, 22 572, 23 780
Município,Chamusca, 13 143, 9 067
Município,Coruche, 25 312, 17 188
Município,Golegã, 5 952, 5 289
Município,Rio Maior, 19 964, 20 288
Município,Salvaterra de Magos, 19 010, 21 183
Município,Santarém, 62 951, 57 087
NUTS III,Alto Alentejo, 142 954, 103 171
Município,Alter do Chão, 4 947, 3 136
