Âmbito Geográfico,Anos,1981,2019
NUTS II,Alentejo,820742,704558
NUTS II,Algarve,324078,438406
NUTS II,Área Metropolitana de Lisboa,2494179,2863272
NUTS II,Centro,2309204,2217285
NUTS II,Norte,3435810,3575338
NUTS II,Região Autónoma da Madeira,254473,254254
NUTS II,Região Autónoma dos Açores,245184,242796
