;TYPE;DATE;YEAR;WEEK;REGION;AGEGROUP;TOTAL_VAC_1;TOTAL_VAC_2;TOTAL_VAC_UNK;TOTAL;CUMUL_VAC_1;CUMUL_VAC_2;CUMUL_VAC_UNK;CUMUL;COVER_1_VAC;COVER;RECEIVED;DISTRIBUTED
1;REGIONAL;08/02/21;2021;6;ARS Alentejo;All;3310;8694;2;12006;27491;17195;4;44690;0,05890634;0,036844586;NA;NA
2;REGIONAL;15/02/21;2021;7;ARS Alentejo;All;4018;2706;2;6726;31509;19901;6;51416;0,06751591;0,042642868;NA;NA
3;REGIONAL;22/02/21;2021;8;ARS Alentejo;All;11881;1602;0;13483;43390;21503;6;64899;0,092973923;0,046075553;NA;NA
4;REGIONAL;08/02/21;2021;6;ARS Algarve;All;2334;2878;1;5213;12533;6248;1;18782;0,028587656;0,01425163;NA;NA
5;REGIONAL;15/02/21;2021;7;ARS Algarve;All;3142;2096;0;5238;15675;8344;1;24020;0,035754529;0,019032586;NA;NA
6;REGIONAL;22/02/21;2021;8;ARS Algarve;All;8362;978;1;9341;24037;9322;2;33361;0,054828173;0,021263395;NA;NA
7;REGIONAL;08/02/21;2021;6;ARS Centro;All;7332;26831;4;34167;79312;50521;8;129841;0,048777638;0,031070898;NA;NA
8;REGIONAL;15/02/21;2021;7;ARS Centro;All;24961;9774;3;34738;104273;60295;11;164579;0,064128891;0,037082001;NA;NA
9;REGIONAL;22/02/21;2021;8;ARS Centro;All;37663;2806;1;40470;141936;63101;12;205049;0,087291996;0,038807718;NA;NA
10;REGIONAL;08/02/21;2021;6;ARS Lisboa e Vale do Tejo;All;13791;29282;10;43083;112985;59470;12;172467;0,030599057;0,016105907;NA;NA
11;REGIONAL;15/02/21;2021;7;ARS Lisboa e Vale do Tejo;All;32234;18374;8;50616;145219;77844;20;223083;0,0393288;0,021082029;NA;NA
12;REGIONAL;22/02/21;2021;8;ARS Lisboa e Vale do Tejo;All;47503;5597;3;53103;192722;83441;23;276186;0,052193756;0,022597831;NA;NA
13;REGIONAL;08/02/21;2021;6;ARS Norte;All;8382;28393;6;36781;104637;68478;7;173122;0,029266324;0,019152874;NA;NA
14;REGIONAL;15/02/21;2021;7;ARS Norte;All;32547;14743;5;47295;137184;83221;12;220417;0,038369519;0,023276401;NA;NA
15;REGIONAL;22/02/21;2021;8;ARS Norte;All;63320;4133;1;67454;200504;87354;13;287871;0,056079733;0,024432375;NA;NA
16;REGIONAL;08/02/21;2021;6;Outro;All;67;119;0;186;683;437;2;1122;NA;NA;NA;NA
17;REGIONAL;15/02/21;2021;7;Outro;All;145;105;1;251;828;542;3;1373;NA;NA;NA;NA
18;REGIONAL;22/02/21;2021;8;Outro;All;69;18;0;87;897;560;3;1460;NA;NA;NA;NA
19;AGES;08/02/21;2021;6;All;0-17 anos;30;67;0;97;163;71;0;234;0,000100093;4,36E-05;NA;NA
20;AGES;15/02/21;2021;7;All;0-17 anos;21;16;0;37;184;87;0;271;0,000112989;5,34E-05;NA;NA
21;AGES;22/02/21;2021;8;All;0-17 anos;21;19;0;40;205;106;0;311;0,000125884;6,51E-05;NA;NA
22;AGES;08/02/21;2021;6;All;18-24 anos;1326;2942;0;4268;11375;6384;1;17760;0,015557087;0,008731116;NA;NA
23;AGES;15/02/21;2021;7;All;18-24 anos;2143;1643;0;3786;13518;8027;1;21546;0,018487974;0,010978175;NA;NA
24;AGES;22/02/21;2021;8;All;18-24 anos;1173;512;0;1685;14691;8539;1;23231;0,020092235;0,011678415;NA;NA
25;AGES;08/02/21;2021;6;All;25-49 anos;12201;29739;9;41949;134021;85191;16;219228;0,042159181;0,026798657;NA;NA
26;AGES;15/02/21;2021;7;All;25-49 anos;20573;18059;7;38639;154594;103250;23;257867;0,048630859;0,032479503;NA;NA
27;AGES;22/02/21;2021;8;All;25-49 anos;10028;4786;2;14816;164622;108036;25;272683;0,051785382;0,033985041;NA;NA
28;AGES;08/02/21;2021;6;All;50-64 anos;5890;21597;7;27494;78873;49400;9;128282;0,038300842;0,023988711;NA;NA
29;AGES;15/02/21;2021;7;All;50-64 anos;23873;12243;5;36121;102746;61643;14;164403;0,049893605;0,029933929;NA;NA
30;AGES;22/02/21;2021;8;All;50-64 anos;48241;3482;2;51725;150987;65125;16;216128;0,073319503;0,031624793;NA;NA
31;AGES;08/02/21;2021;6;All;65-79 anos;2617;11104;3;13724;32813;17458;4;50275;0,021235027;0,011297994;NA;NA
32;AGES;15/02/21;2021;7;All;65-79 anos;4302;6934;3;11239;37115;24392;7;61514;0,024019078;0,015785352;NA;NA
33;AGES;22/02/21;2021;8;All;65-79 anos;10694;1892;0;12586;47809;26284;7;74100;0,030939731;0,017009766;NA;NA
34;AGES;08/02/21;2021;6;All;80 ou mais anos;13152;30748;4;43904;80395;43845;4;124244;0,122601946;0,066863391;NA;NA
35;AGES;15/02/21;2021;7;All;80 ou mais anos;46135;8903;4;55042;126530;52748;8;179286;0,192957575;0,080440418;NA;NA
36;AGES;22/02/21;2021;8;All;80 ou mais anos;98641;4443;2;103086;225171;57191;10;282372;0,343384573;0,08721597;NA;NA
37;GENERAL;08/02/21;2021;6;All;All;35216;96197;23;131436;337641;202349;34;540024;0,034457175;0,020650261;651900;571981
38;GENERAL;15/02/21;2021;7;All;All;97047;47798;19;144864;434688;250147;53;684888;0,044361083;0,025528176;830730;718143
39;GENERAL;22/02/21;2021;8;All;All;168798;15134;6;183938;603486;265281;59;868826;0,061587375;0,027072642;1002999;933847
