data,rt_nacional,rt_95_inferior_nacional,rt_95_superior_nacional,rt_continente,rt_95_inferior_continente,rt_95_superior_continente,rt_arsnorte,rt_95_inferior_arsnorte,rt_95_superior_arsnorte,rt_arscentro,rt_95_inferior_arscentro,rt_95_superior_arscentro,rt_arslvt,rt_95_inferior_arslvt,rt_95_superior_arslvt,rt_arsalentejo,rt_95_inferior_arsalentejo,rt_95_superior_arsalentejo,rt_arsalgarve,rt_95_inferior_arsalgarve,rt_95_superior_arsalgarve,rt_açores,rt_95_inferior_açores,rt_95_superior_açores,rt_madeira,rt_95_inferior_madeira,rt_95_superior_madeira
2021-05-08,0.968172191778209,0.930437500260543,1.00524793911869,0.9646638311006,0.925542955445308,1.00411030339425,0.939192778141578,0.882867718463005,0.997249566572832,0.96798671331891,0.854956905724674,1.08495745234762,0.984429189943116,0.921108020734675,1.05092737072306,1.0101991156766,0.834585704258999,1.19324395243211,1.02541768048224,0.876127833247907,1.18044943652972,1.09396855828131,0.917875711766725,1.28616302032924,0.920808363533338,0.760957167914885,1.1013788830468
2021-05-09,0.976040837166657,0.939092902648807,1.01271918214919,0.971485401774211,0.932120966319011,1.01000502136486,0.934050939238254,0.875767046990805,0.992257201006407,0.967076283481479,0.858418259063318,1.08535296375058,1.01124803286173,0.944905123713549,1.07880752824892,0.96331400803993,0.797077803701756,1.14361049463396,1.06399902249605,0.908910499474912,1.22739709458098,1.10979235582765,0.929424002419606,1.29891788427032,0.918346288689579,0.754408175568579,1.09572069932449
2021-05-10,0.981951851946211,0.946382372046427,1.0183143453912,0.984436259703876,0.946795374807323,1.02461917174501,0.940875506984901,0.883466938432576,0.999971127998425,1.02056458521399,0.907032233824066,1.14053515506793,1.0099927907494,0.943296625716158,1.07919249271794,0.962447311242411,0.78986085289695,1.14911269393271,1.12251212487154,0.962066816316848,1.28818165553165,1.05154415780428,0.881943249267733,1.23290672886352,0.847441918855346,0.686007096490869,1.0164336634503
2021-05-11,0.982942303038018,0.947721165215522,1.01910538719162,0.980214066985647,0.941540155393194,1.01883147233716,0.953974501302853,0.896296589483617,1.01407239781411,0.998224051100687,0.882673112804674,1.11634713575166,1.00722967298158,0.943434857537225,1.07444448163819,0.914988902582102,0.745095535332212,1.1015883301414,1.05152496390134,0.903800189934296,1.20613254926176,1.05540045012691,0.890281048396193,1.23512887139791,0.953797387297084,0.785608327268283,1.14634206621714
2021-05-12,0.995159360314354,0.958001239738168,1.03215752504893,0.995658919238603,0.956720026192995,1.03460474373376,0.949727232299333,0.891123584278856,1.00916514924295,1.07435707652754,0.95692525198515,1.19554924599629,1.05139622471065,0.986875810584983,1.11903439166488,0.944639390697602,0.762837642468755,1.12933069832266,0.908379341572473,0.771351571508125,1.05843976442493,1.01253303711347,0.849455853842714,1.18559288291603,0.982164785901626,0.804758662298272,1.17847222189486
2021-05-13,0.997919394809871,0.960724704363905,1.03535246107377,0.995257288355343,0.956162013027949,1.03453306874488,0.97499732181017,0.917692536170578,1.03646524223085,0.983454150608906,0.8725681030132,1.10243081767475,1.05351664334535,0.987520449601303,1.12229959529188,0.941962016068049,0.77540029494885,1.13110635040559,0.883183757994357,0.748056026554885,1.02521735184022,0.987177809880879,0.83054165314247,1.16157423705675,1.08815505294284,0.898648318310012,1.29042802239468
2021-05-14,1.01870017452367,0.980279906830285,1.05752688141779,1.01838415775292,0.979917584341221,1.05814047799132,0.989956446489368,0.931042436755485,1.05082134462836,1.00498593666019,0.891060165634601,1.12669424156893,1.07377005557942,1.00862495711048,1.1407380061456,0.956867813839428,0.779114514293997,1.15529974482011,0.959001694516772,0.810652680258975,1.11618188891305,0.974611949720392,0.813287043621068,1.14737848305415,1.0960677969159,0.911023327545428,1.30199245559464
2021-05-15,1.03946010935037,1.00204635994801,1.07797277279198,1.03921823861928,1.00149803998057,1.07851204793923,0.995202818402972,0.937192168305887,1.05607805772367,1.02513138604744,0.911221662011943,1.14494627162957,1.10736846598344,1.04071407891764,1.17669598274469,0.988576278732908,0.81305423414054,1.18440384806968,0.995154429823508,0.845883437601655,1.15224244534333,0.96699236555551,0.803860723726766,1.14061661492353,1.15578990060632,0.964929432168426,1.35784884861088
2021-05-16,1.04895645155266,1.01217882008105,1.08619075542739,1.05035153374875,1.01095133617936,1.09037832581407,0.987681652950856,0.928790859134416,1.04814943983786,1.04883611078019,0.933830034223817,1.17070971509628,1.13797019549202,1.06782951238002,1.20854856634555,0.959168952280316,0.782799180584701,1.1517500055589,1.01819283389927,0.863214197677583,1.17795496130477,1.00151737518412,0.840304537915513,1.18117882608017,1.09882919469012,0.920642657495676,1.28726553948258
2021-05-17,1.06246175148064,1.02468623368505,1.10248659554044,1.06425523987306,1.02437280390423,1.10528167387227,0.974675470186761,0.916846148287554,1.03449732998612,1.0428827512463,0.933332555803543,1.15796827587396,1.20795394666078,1.13586358342379,1.27668889678924,0.945135337182089,0.769366548719496,1.12987301162792,0.889691381776066,0.750802281966212,1.03967709483907,1.07025369937735,0.897349527385866,1.25757863190723,1.04511681251622,0.878107348031605,1.2340763807806
