data,confirmados,confirmados_novos,obitos,obitos_novos
2020-03-04,1,1,0,0
2020-03-05,5,4,0,0
2020-03-06,11,6,0,0
2020-03-07,18,7,0,0
2020-03-08,25,7,0,0
2020-03-09,31,6,0,0
2020-03-10,41,10,0,0
2020-03-11,52,11,0,0
2020-03-12,89,37,0,0
2020-03-13,138,49,0,0
2020-03-14,233,95,0,0
2020-03-15,314,81,0,0
2020-03-16,424,110,1,1
2020-03-17,535,111,2,1
2020-03-18,679,144,4,2
2020-03-19,948,269,5,1
2020-03-20,1166,218,10,5
2020-03-21,1408,242,15,5
2020-03-22,1722,314,26,11
2020-03-23,2049,327,37,11
2020-03-24,2621,572,49,12
2020-03-25,3101,480,65,16
2020-03-26,3711,610,82,17
2020-03-27,4435,724,107,25
2020-03-28,4998,563,127,20
2020-03-29,5452,454,150,23
2020-03-30,6385,933,179,29
2020-03-31,7251,866,214,35
2020-04-01,7969,718,240,26
2020-04-02,8710,741,277,37
2020-04-03,9421,711,302,25
2020-04-04,10008,587,330,28
2020-04-05,10498,490,356,26
2020-04-06,11258,760,397,41
2020-04-07,11955,697,437,40
2020-04-08,12710,755,471,34
2020-04-09,13382,672,499,28
2020-04-10,13930,548,537,38
2020-04-11,14497,567,568,31
2020-04-12,14938,441,602,34
2020-04-13,15615,677,637,35
2020-04-14,16322,707,671,34
2020-04-15,17002,680,702,31
2020-04-16,17699,697,730,28
2020-04-17,18415,716,763,33
2020-04-18,18766,351,793,30
2020-04-19,19183,417,819,26
2020-04-20,19796,613,847,28
2020-04-21,20311,515,871,24
2020-04-22,20814,503,908,37
2020-04-23,21377,563,929,21
2020-04-24,21851,474,959,30
2020-04-25,22115,264,982,23
2020-04-26,22377,262,1006,24
2020-04-27,22844,467,1026,20
2020-04-28,23296,452,1053,27
2020-04-29,23720,424,1067,14
2020-04-30,24126,406,1087,20
2020-05-01,24369,243,1104,17
2020-05-02,24573,204,1124,20
2020-05-03,24751,178,1146,22
2020-05-04,25208,457,1156,10
2020-05-05,25614,406,1171,15
2020-05-06,25990,376,1187,16
2020-05-07,26397,407,1196,9
2020-05-08,26724,327,1207,11
2020-05-09,26900,176,1217,10
2020-05-10,27076,176,1226,9
2020-05-11,27402,326,1242,16
2020-05-12,27655,253,1252,10
2020-05-13,27911,256,1257,5
2020-05-14,28209,298,1267,10
2020-05-15,28482,273,1277,10
2020-05-16,28715,233,1290,13
2020-05-17,28929,214,1295,5
2020-05-18,29254,325,1305,10
2020-05-19,29618,364,1316,11
2020-05-20,29929,311,1327,11
2020-05-21,30269,340,1332,5
2020-05-22,30628,359,1342,10
2020-05-23,30786,158,1352,10
2020-05-24,30940,154,1363,11
2020-05-25,31204,264,1372,9
2020-05-26,31536,332,1382,10
2020-05-27,31824,288,1391,9
2020-05-28,32171,347,1402,11
2020-05-29,32488,317,1413,11
2020-05-30,32743,255,1422,9
2020-05-31,32903,160,1432,10
2020-06-01,33232,329,1444,12
2020-06-02,33539,307,1450,6
2020-06-03,33929,390,1455,5
2020-06-04,34257,328,1462,7
2020-06-05,34659,402,1470,8
2020-06-06,34894,235,1475,5
2020-06-07,35014,120,1482,7
2020-06-08,35438,424,1488,6
2020-06-09,35795,357,1492,4
2020-06-10,36088,293,1497,5
2020-06-11,36311,223,1498,1
2020-06-12,36661,350,1505,7
2020-06-13,36828,167,1510,5
2020-06-14,36984,156,1513,3
2020-06-15,37301,317,1516,3
2020-06-16,37629,328,1518,2
2020-06-17,38020,391,1523,5
2020-06-18,38503,483,1526,3
2020-06-19,38947,444,1526,0
2020-06-20,39197,250,1529,3
2020-06-21,39451,254,1533,4
2020-06-22,39910,459,1541,8
2020-06-23,40307,397,1543,2
2020-06-24,40689,382,1549,6
2020-06-25,41136,447,1555,6
2020-06-26,41567,431,1561,6
2020-06-27,41859,292,1566,5
2020-06-28,42135,276,1571,5
2020-06-29,42510,375,1580,9
2020-06-30,42901,391,1582,2
2020-07-01,43269,368,1589,7
2020-07-02,43700,431,1601,12
2020-07-03,44101,401,1608,7
2020-07-04,44357,256,1617,9
2020-07-05,44586,229,1625,8
2020-07-06,44998,412,1634,9
2020-07-07,45447,449,1636,2
2020-07-08,45818,371,1649,13
2020-07-09,46257,439,1651,2
2020-07-10,46645,388,1659,8
2020-07-11,46925,280,1665,6
2020-07-12,47164,239,1666,1
2020-07-13,47562,398,1672,6
2020-07-14,47918,356,1680,8
2020-07-15,48262,344,1683,3
2020-07-16,48620,358,1686,3
2020-07-17,48940,320,1688,2
2020-07-18,49130,190,1693,5
2020-07-19,49292,162,1695,2
2020-07-20,49555,263,1702,7
2020-07-21,49811,256,1706,4
2020-07-22,50073,262,1709,3
2020-07-23,50407,334,1716,7
2020-07-24,50706,299,1720,4
2020-07-25,50892,186,1721,1
2020-07-26,50999,107,1724,3
2020-07-27,51223,224,1727,3
2020-07-28,51445,222,1730,3
2020-07-29,51687,242,1732,2
2020-07-30,51945,258,1739,7
2020-07-31,52208,263,1741,2
2020-08-01,52344,136,1742,1
2020-08-02,52444,100,1742,0
2020-08-03,52639,195,1743,1
2020-08-04,52894,255,1744,1
2020-08-05,53148,254,1747,3
2020-08-06,53414,266,1750,3
2020-08-07,53668,254,1754,4
2020-08-08,53810,142,1760,6
2020-08-09,53927,117,1764,4
2020-08-10,54133,206,1765,1
2020-08-11,54410,277,1768,3
2020-08-12,54734,324,1774,6
2020-08-13,54973,239,1776,2
2020-08-14,55277,304,1779,3
2020-08-15,55426,149,1782,3
2020-08-16,55529,103,1783,1
2020-08-17,55812,283,1788,5
2020-08-18,56053,241,1790,2
2020-08-19,56342,289,1794,4
2020-08-20,56599,257,1797,3
2020-08-21,56809,210,1799,2
2020-08-22,56945,136,1801,2
2020-08-23,57064,119,1806,5
2020-08-24,57319,255,1810,4
2020-08-25,57645,326,1812,2
2020-08-26,58074,429,1814,2
2020-08-27,58542,468,1820,6
2020-08-28,58900,358,1823,3
2020-08-29,59179,279,1824,1
2020-08-30,59385,206,1827,3
2020-08-31,59677,292,1830,3
2020-09-01,60029,352,1833,3
2020-09-02,60409,380,1835,2
2020-09-03,60880,471,1839,4
2020-09-04,61370,490,1844,5
2020-09-05,61679,309,1846,2
2020-09-06,61943,264,1849,3
2020-09-07,62424,481,1852,3
2020-09-08,62971,547,1856,4
2020-09-09,63564,593,1858,2
2020-09-10,64222,658,1861,3
2020-09-11,64796,574,1866,5
2020-09-12,65303,507,1873,7
2020-09-13,65771,468,1877,4
2020-09-14,66427,656,1881,4
2020-09-15,67034,607,1884,3
2020-09-16,67664,630,1894,10
2020-09-17,68465,801,1900,6
2020-09-18,69325,860,1905,5
2020-09-19,69826,501,1918,13
2020-09-20,70300,474,1926,8
2020-09-21,70938,638,1931,5
2020-09-22,71690,752,1934,3
2020-09-23,72410,720,1937,3
2020-09-24,73266,856,1942,5
2020-09-25,74112,846,1950,8
2020-09-26,74650,538,1959,9
2020-09-27,75115,465,1963,4
2020-09-28,75765,650,1969,6
2020-09-29,76563,798,1978,9
2020-09-30,77330,767,1983,5
2020-10-01,78119,789,1989,6
2020-10-02,79109,990,2001,12
2020-10-03,79896,787,2013,12
2020-10-04,80506,610,2024,11
2020-10-05,80984,478,2038,14
2020-10-06,81906,922,2047,9
2020-10-07,82947,1041,2058,11
2020-10-08,84371,1424,2070,12
2020-10-09,85932,1561,2075,5
2020-10-10,86892,960,2091,16
2020-10-11,88013,1121,2105,14
2020-10-12,89417,1404,2121,16
2020-10-13,91354,1937,2130,9
2020-10-14,93376,2022,2141,11
2020-10-15,95641,2265,2161,20
2020-10-16,97680,2039,2174,13
2020-10-17,99380,1700,2193,19
2020-10-18,100982,1602,2210,17
2020-10-19,102976,1994,2226,16
2020-10-20,105365,2389,2241,15
2020-10-21,108266,2901,2258,17
2020-10-22,110971,2705,2288,30
2020-10-23,114207,3236,2307,19
2020-10-24,116423,2216,2326,19
2020-10-25,118469,2046,2356,30
2020-10-26,121500,3031,2382,26
2020-10-27,124963,3463,2408,26
2020-10-28,128888,3925,2439,31
2020-10-29,132995,4107,2479,40
2020-10-30,136735,3740,2518,39
2020-10-31,139524,2789,2554,36
2020-11-01,141780,2256,2601,47
2020-11-02,144594,2814,2649,48
2020-11-03,152205,7611,2711,62
2020-11-04,157184,4979,2756,45
2020-11-05,162004,4820,2810,54
2020-11-06,166999,4995,2865,55
2020-11-07,170759,3760,2917,52
2020-11-08,174022,3263,2978,61
2020-11-09,178224,4202,3041,63
2020-11-10,182966,4742,3121,80
2020-11-11,188163,5197,3202,81
2020-11-12,194074,5911,3271,69
2020-11-13,200071,5997,3331,60
2020-11-14,205182,5111,3410,79
2020-11-15,208719,3537,3505,95
2020-11-16,213596,4877,3578,73
2020-11-17,218899,5303,3651,73
