data,concelho,confirmados_14,confirmados_1,incidencia,incidencia_categoria,incidencia_risco,distrito,dicofre,area,population,population_65_69,population_70_74,population_75_79,population_80_84,population_85_mais,population_80_mais,population_75_mais,population_70_mais,population_65_mais,densidade_populacional,densidade_1,densidade_2,densidade_3
11-11-2020,ARCOS DE VALDEVEZ,68,5,325.0,"Acima de 240,0 ",Muito elevada,VIANA DO CASTELO,1601,44759.64,20926,1329,1338,1282,1343,1515,2858,4140,5478,6807,46.75,15.21,12.24,9.25
11-11-2020,ARGANIL,47,3,427.0,"Acima de 240,0 ",Muito elevada,COIMBRA,0601,33283.93,11014,672,648,612,559,596,1155,1767,2415,3087,33.09,9.27,7.26,5.31
11-11-2020,ARMAMAR,8,1,139.0,"Entre 120,0 e 239,9",Elevada,VISEU,1801,11723.73,5769,357,305,309,285,310,595,904,1209,1566,49.21,13.36,10.31,7.71
11-11-2020,AROUCA,155,11,748.0,"Acima de 240,0 ",Muito elevada,AVEIRO,0104,32910.52,20720,1306,1047,753,683,683,1366,2119,3166,4472,62.96,13.59,9.62,6.44
11-11-2020,ARRAIOLOS,8,1,115.0,"Entre 60,0 e 119,9",Moderada,ÉVORA,0702,68374.55,6928,435,384,283,367,480,847,1130,1514,1949,10.13,2.85,2.21,1.65
11-11-2020,ARRONCHES,16,1,567.0,"Acima de 240,0 ",Muito elevada,PORTALEGRE,1202,31464.72,2820,155,142,162,187,179,366,528,670,825,8.96,2.62,2.13,1.68
11-11-2020,ARRUDA DOS VINHOS,49,4,318.0,"Acima de 240,0 ",Muito elevada,LISBOA,1102,7795.93,15412,738,738,562,509,438,947,1509,2247,2985,197.69,38.29,28.82,19.36
11-11-2020,AVEIRO,361,26,459.0,"Acima de 240,0 ",Muito elevada,AVEIRO,0105,19757.57,78734,4520,4004,3050,2250,2103,4353,7403,11407,15927,398.49,80.61,57.73,37.47
11-11-2020,AVIS,3,0,71.0,"Entre 60,0 e 119,9",Moderada,PORTALEGRE,1203,60596.51,4247,315,225,206,251,273,524,730,955,1270,7.01,2.1,1.58,1.2
11-11-2020,AZAMBUJA,99,7,436.0,"Acima de 240,0 ",Muito elevada,LISBOA,1103,26265.65,22716,1322,1171,1070,798,618,1416,2486,3657,4979,86.48,18.96,13.92,9.46
11-11-2020,BAIÃO,107,8,571.0,"Acima de 240,0 ",Muito elevada,PORTO,1302,17452.83,18748,1070,862,714,686,725,1411,2125,2987,4057,107.42,23.25,17.11,12.18
11-11-2020,BARCELOS,928,66,799.0,"Acima de 240,0 ",Muito elevada,BRAGA,0302,37890.14,116187,6721,5325,3619,2991,2562,5553,9172,14497,21218,306.64,56.0,38.26,24.21
11-11-2020,BARRANCOS,1,0,61.0,"Entre 60,0 e 119,9",Moderada,BEJA,0204,16841.73,1634,90,65,65,94,61,155,220,285,375,9.7,2.23,1.69,1.31
11-11-2020,BARREIRO,218,16,290.0,"Acima de 240,0 ",Muito elevada,SETÚBAL,1504,3639.07,75147,5194,5565,4459,3105,1767,4872,9331,14896,20090,2065.05,552.07,409.34,256.42
11-11-2020,BATALHA,27,2,169.0,"Entre 120,0 e 239,9",Elevada,LEIRIA,1004,10341.6,15963,873,762,649,529,549,1078,1727,2489,3362,154.35,32.51,24.07,16.7
11-11-2020,BEJA,108,8,322.0,"Acima de 240,0 ",Muito elevada,BEJA,0205,114647.55,33579,2005,1840,1386,1272,1039,2311,3697,5537,7542,29.29,6.58,4.83,3.22
11-11-2020,BELMONTE,113,8,1766.0,"Acima de 240,0 ",Muito elevada,CASTELO BRANCO,0501,11875.91,6398,444,321,325,310,355,665,990,1311,1755,53.87,14.78,11.04,8.34
11-11-2020,BENAVENTE,107,8,350.0,"Acima de 240,0 ",Muito elevada,SANTARÉM,1405,52138.39,30602,1468,1376,1141,876,643,1519,2660,4036,5504,58.69,10.56,7.74,5.1
11-11-2020,BOMBARRAL,7,1,56.0,"Entre 20,0 e 59,9",Baixa,LEIRIA,1005,9128.55,12558,875,714,561,491,429,920,1481,2195,3070,137.56,33.63,24.04,16.22
11-11-2020,BORBA,20,1,297.0,"Acima de 240,0 ",Muito elevada,ÉVORA,0703,14518.65,6736,430,375,279,436,392,828,1107,1482,1912,46.39,13.17,10.21,7.62
11-11-2020,BOTICAS,20,1,400.0,"Acima de 240,0 ",Muito elevada,VILA REAL,1702,32195.66,4998,347,306,311,305,380,685,996,1302,1649,15.52,5.12,4.04,3.09
11-11-2020,BRAGA,1505,108,824.0,"Acima de 240,0 ",Muito elevada,BRAGA,0303,18339.95,182679,10029,7963,5241,4320,3671,7991,13232,21195,31224,996.07,170.25,115.57,72.15
11-11-2020,BRAGANÇA,171,12,509.0,"Acima de 240,0 ",Muito elevada,BRAGANÇA,0402,117357.27,33607,2402,1855,1652,1393,1163,2556,4208,6063,8465,28.64,7.21,5.17,3.59
11-11-2020,CABECEIRAS DE BASTO,68,5,435.0,"Acima de 240,0 ",Muito elevada,BRAGA,0304,24182.16,15628,774,594,544,575,574,1149,1693,2287,3061,64.63,12.66,9.46,7.0
11-11-2020,CADAVAL,32,2,234.0,"Entre 120,0 e 239,9",Elevada,LISBOA,1104,17489.3,13673,813,796,756,621,625,1246,2002,2798,3611,78.18,20.65,16.0,11.45
11-11-2020,CALDAS DA RAINHA,110,8,212.0,"Entre 120,0 e 239,9",Elevada,LEIRIA,1006,25569.47,51912,3035,2684,2186,1899,1705,3604,5790,8474,11509,203.03,45.01,33.14,22.64
11-11-2020,CALHETA,2,0,74.0,"Entre 60,0 e 119,9",Moderada,AÇORES,4501,12626.4,3184,215,159,141,139,122,261,402,561,776,25.22,6.15,4.44,3.18
11-11-2020,CALHETA (AÇORES),0,0,0.0,"Abaixo de 20,0",Muito baixa,MADEIRA,3101,11150.43,10867,576,497,507,399,415,814,1321,1818,2394,97.46,21.47,16.3,11.85
11-11-2020,CÂMARA DE LOBOS,8,1,24.0,"Entre 20,0 e 59,9",Baixa,MADEIRA,3102,5216.67,33675,1396,1059,834,545,381,926,1760,2819,4215,645.49,80.79,54.03,33.74
11-11-2020,CAMINHA,154,11,970.0,"Acima de 240,0 ",Muito elevada,VIANA DO CASTELO,1602,13652.14,15877,1046,944,818,646,656,1302,2120,3064,4110,116.3,30.11,22.44,15.53
11-11-2020,CAMPO MAIOR,27,2,343.0,"Acima de 240,0 ",Muito elevada,PORTALEGRE,1204,24720.16,7874,471,364,351,279,327,606,957,1321,1792,31.85,7.25,5.34,3.87
11-11-2020,CANTANHEDE,126,9,360.0,"Acima de 240,0 ",Muito elevada,COIMBRA,0602,39088.02,35011,2346,2096,1880,1709,1451,3160,5040,7136,9482,89.57,24.26,18.26,12.89
11-11-2020,CARRAZEDA DE ANSIÃES,16,1,282.0,"Acima de 240,0 ",Muito elevada,BRAGANÇA,0403,27924.09,5666,424,389,391,312,465,777,1168,1557,1981,20.29,7.09,5.58,4.18
11-11-2020,CARREGAL DO SAL,10,1,108.0,"Entre 60,0 e 119,9",Moderada,VISEU,1802,11689.21,9271,587,562,486,462,376,838,1324,1886,2473,79.31,21.16,16.13,11.33
11-11-2020,CARTAXO,82,6,344.0,"Acima de 240,0 ",Muito elevada,SANTARÉM,1406,15817.28,23843,1415,1376,1142,861,632,1493,2635,4011,5426,150.74,34.3,25.36,16.66
11-11-2020,CASCAIS,1173,84,549.0,"Acima de 240,0 ",Muito elevada,LISBOA,1105,9740.17,213608,12151,11444,8680,6469,5248,11717,20397,31841,43992,2193.1,451.66,326.91,209.41
11-11-2020,CASTANHEIRA DE PÊRA,1,0,38.0,"Entre 20,0 e 59,9",Baixa,LEIRIA,1007,6677.45,2614,233,195,157,190,187,377,534,729,962,39.15,14.41,10.92,8.0
11-11-2020,CASTELO BRANCO,178,13,342.0,"Acima de 240,0 ",Muito elevada,CASTELO BRANCO,0502,143819.15,51987,3528,3042,2499,2229,2225,4454,6953,9995,13523,36.15,9.4,6.95,4.83
11-11-2020,CASTELO DE PAIVA,121,9,783.0,"Acima de 240,0 ",Muito elevada,AVEIRO,0106,11500.53,15454,881,697,545,420,431,851,1396,2093,2974,134.37,25.86,18.2,12.14
11-11-2020,CASTELO DE VIDE,1,0,34.0,"Entre 20,0 e 59,9",Baixa,PORTALEGRE,1205,26491.24,2919,204,173,179,147,170,317,496,669,873,11.02,3.3,2.53,1.87
11-11-2020,CASTRO DAIRE,81,6,586.0,"Acima de 240,0 ",Muito elevada,VISEU,1803,37904.13,13823,942,857,765,732,773,1505,2270,3127,4069,36.47,10.74,8.25,5.99
11-11-2020,CASTRO MARIM,6,0,96.0,"Entre 60,0 e 119,9",Moderada,FARO,0804,30084.37,6237,370,345,334,322,344,666,1000,1345,1715,20.73,5.7,4.47,3.32
11-11-2020,CASTRO VERDE,5,0,72.0,"Entre 60,0 e 119,9",Moderada,BEJA,0206,56944.23,6949,437,347,303,275,227,502,805,1152,1589,12.2,2.79,2.02,1.41
11-11-2020,CELORICO DA BEIRA,42,3,606.0,"Acima de 240,0 ",Muito elevada,GUARDA,0903,24721.63,6928,430,416,363,369,535,904,1267,1683,2113,28.02,8.55,6.81,5.12
11-11-2020,CELORICO DE BASTO,118,8,620.0,"Acima de 240,0 ",Muito elevada,BRAGA,0305,18107.02,19040,1001,802,668,728,729,1457,2125,2927,3928,105.15,21.69,16.17,11.74
